名称,总价,每平方单价,小区名称,地址,房型,面积,朝向,楼层,建造时间
性价比杠杠的！！五字头！！地铁口大三房,550万,62183元/㎡,前海花园,南山-前海-桃园路288号,3室2厅1卫,88.45㎡,西,低层(共17层),2004年建造
看房随时方便，业主资产处理，诚心出售，看自贸区超好景观,550万,67074元/㎡,前海花园,南山-前海-桃园路288号,3室2厅1卫,82㎡,西,中层(共17层),2004年建造
园岭 南北通透 满五 近地铁 出行方便 高楼层视野好,580万,65641元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,88.36㎡,南北,高层(共7层),1984年建造
天韵府  罗湖东湖水库边上 京基开发品质好房,561万,66000元/㎡,京基·天韵府,罗湖-布心-深圳地铁5号线布心地铁站D约200米出口,2室2厅1卫,85㎡,东,-,2025年建造
园岭新村 商圈成熟 商品住宅 医疗配套成熟 近地铁 小三居,680万,79070元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,86㎡,南,低层(共7层),1984年建造
市民中心旁，西南向刚需盘，时代华庭3房2厅2卫诚售,618万,63197元/㎡,时代华庭,福田-景田南-商报东路15号,3室2厅2卫,97.79㎡,西南,低层(共29层),2000年建造
万科金色笋盘，3房2卫厅出阳台，总价7字头有惊喜，出门地铁口,822万,90809元/㎡,万科金色家园,福田-景田北-莲花路2018号,3室2厅2卫,90.52㎡,西北,高层(共30层),2002年建造
样板装修，园岭本部大三房，价格63X，红本满五  ！,700万,84839元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,82.51㎡,南北,中层(共6层),1984年建造
业主急卖次新房拾悦城（调价340），扛不住了，满五税少视野好,350万,40731元/㎡,拾悦城,宝安-沙井-宝安大道8181号,3室2厅2卫,85.93㎡,南北,低层(共31层),2018年建造
正规商品房 精装修 中间楼层 双卫格局 朝南 近地铁,710万,79144元/㎡,龙光玖龙玺,龙华-梅林关口-新区大道,4室2厅2卫,89.71㎡,南,中层(共32层),2018年建造
通心岭小区(北区) 交通便捷 商业配套齐全 商品房,630万,91331元/㎡,通心岭小区(北区),福田-上步-同福路2号,2室2厅1卫,68.98㎡,南北,高层(共6层),1995年建造
