名称,面积,朝向,房型,租金
整租·龙光君御华府3室2厅北,89.00,北,3室2厅2卫,2300
独栋·莞寓万江华南摩尔都会广场店免费健身房毕业生押一付一免10天租期开间,89.00,北,3室2厅2卫,1127-1328
整租·碧桂园蘭亭3室2厅东/西,89.00,北,3室2厅2卫,2200
独栋·莞寓万江华南摩尔都会广场店华南摩尔旁公寓民用水电、毕业生押一、免租10天开间,89.00,北,3室2厅2卫,1177-1277
整租·葡萄庄园3室2厅南,89.00,北,3室2厅2卫,2500
独栋·保利和寓保利大都汇阖家欢乐三房一厅3室1厅,89.00,北,3室2厅2卫,2346
整租·理想07693室2厅北,89.00,北,3室2厅2卫,2200
独栋·优e家公寓万科金域店免租10天万科金域广场复式两房一厅光大华为松山湖2室1厅,89.00,北,3室2厅2卫,1300-1500
整租·振业松湖雅苑3室2厅东南,89.00,北,3室2厅2卫,2500
独栋·保利和寓保利大都汇南城温馨小单间开间,89.00,北,3室2厅2卫,1175-1191
整租·和阳大厦3室2厅东北,89.00,北,3室2厅2卫,2600
独栋·莞寓石龙龙升店毕业生免租十天双阳台一房一厅补贴后720元/月起1室1厅,89.00,北,3室2厅2卫,1200-1500
整租·花样年华1室1厅南,89.00,北,3室2厅2卫,1400
独栋·莞寓石龙龙升店毕业生押一两房一厅独立厨房通燃气补贴后950元/月起2室1厅,89.00,北,3室2厅2卫,1376-1880
整租·万象连城3室2厅南,89.00,北,3室2厅2卫,4000
整租·新世界花园3室1厅南,89.00,北,3室2厅2卫,2300
整租·凯悦美景3室2厅东南,89.00,北,3室2厅2卫,2300
独栋·优e家公寓万科金域店免租10天万科金域广场网红小区直播带货可注册公司2室1厅,89.00,北,3室2厅2卫,1100-1300
整租·皇朝阁1室1厅东南/南,89.00,北,3室2厅2卫,1300
整租·春风格拉斯2室2厅南,89.00,北,3室2厅2卫,1800
整租·公共汽车宿舍3室2厅南,89.00,北,3室2厅2卫,1500
独栋·优e家公寓万科金域店免租10天超大3房1厅2卫3室1厅,89.00,北,3室2厅2卫,1700-1800
整租·新世纪星城三期4室2厅南,89.00,北,3室2厅2卫,3600
独栋·保利和寓保利大都汇全景落地复式一房一厅（送衣帽间+大仓库）1室1厅,89.00,北,3室2厅2卫,1848
整租·聚豪華庭4室2厅南,89.00,北,3室2厅2卫,3000
独栋·莞寓石龙龙升店毕业生押一阳台大单间独立厨房补贴后700元/月起开间,89.00,北,3室2厅2卫,1134
整租·锦龙又一城23室2厅东北,89.00,北,3室2厅2卫,3000
独栋·优e家公寓万科金域店免租10天万科金域广场公寓直租2室1厅松山湖2室1厅,89.00,北,3室2厅2卫,1700-1800
整租·融创公园首府3室2厅南,89.00,北,3室2厅2卫,2300
独栋·莞寓莞寓市人才安居社区押一付一专科以上可申请补贴单间开间,89.00,北,3室2厅2卫,1180
整租·东方国际星座3室2厅西南,103.00,东,3室2厅1卫,2000
独栋·莞寓人才社区B区【押一付一】【电费6毛9】【国贸2KM】补贴后1000元/月开间,103.00,东,3室2厅1卫,1449
整租·新世纪星城三期3室2厅南,103.00,东,3室2厅1卫,2800
独栋·莞寓人才社区B区【押一付一】【民用水电】补贴后300元/月开间,103.00,东,3室2厅1卫,1035
整租·横沥碧桂园3室2厅西南,103.00,东,3室2厅1卫,2000
独栋·莞寓莞寓市人才安居社区押一付一本科可申请补贴伍佰精致单间开间,103.00,东,3室2厅1卫,1265-1283
整租·华都花园二期2室2厅南,103.00,东,3室2厅1卫,1200
独栋·莞寓创业路店2号店押一付一】免租10天】补贴后600元/月起民用水电】2开间,103.00,东,3室2厅1卫,1585-1623
整租·东城教师楼4室3厅西南/东北,103.00,东,3室2厅1卫,2500
独栋·优e家公寓横坑店押一付一超精致一房一厅1室1厅,103.00,东,3室2厅1卫,1400-1500
整租·卓越蔚蓝城邦3室2厅东南,103.00,东,3室2厅1卫,2300
独栋·城家公寓东莞松山湖科学城店免费健身房！超大休闲区！独厨独卫！落地窗1室1厅,103.00,东,3室2厅1卫,7350-7400
整租·富盈山水华庭4室2厅南,103.00,东,3室2厅1卫,3300
独栋·城家公寓东莞松山湖科学城店免费健身房！超大休闲会客区！独厨独卫开间,103.00,东,3室2厅1卫,2410-4200
整租·莞翠邨3室2厅南/北,103.00,东,3室2厅1卫,2600
整租·海上明悦3室2厅南,103.00,东,3室2厅1卫,2500
整租·香堤绿茵温莎堡3室2厅南/北,103.00,东,3室2厅1卫,1800
独栋·城家公寓东莞松山湖科学城店免费阅读办公区！免费健身房！复式带厨房1室1厅,103.00,东,3室2厅1卫,7350-7400
整租·豪翠花园2室2厅南,103.00,东,3室2厅1卫,1200
整租·东方国际星座3室2厅北,103.00,东,3室2厅1卫,2100
整租·中信凯旋城4室2厅东南,103.00,东,3室2厅1卫,4300
独栋·城家公寓东莞松山湖科学城店免费阅读办公区，免费健身房，复式落地窗1室1厅,103.00,东,3室2厅1卫,2410-4300
整租·皇朝阁1室1厅南,103.00,东,3室2厅1卫,850
独栋·莞寓柏洲边店毕业生押一付一补贴500元近榴花地铁免费健身房（单间）开间,103.00,东,3室2厅1卫,950-1109
整租·海德骏园4室2厅南/北,103.00,东,3室2厅1卫,1600
独栋·莞寓柏洲边店毕业生押一付一补贴500元采光好一房一厅近榴花地铁站1室1厅,103.00,东,3室2厅1卫,1250
整租·丽都花园6室2厅东南,103.00,东,3室2厅1卫,4500
独栋·莞寓智荟谷·东城万达店东城万达汇景智汇谷本科每月补贴500元房补开间,103.00,东,3室2厅1卫,1290
整租·御城花园3室2厅南,103.00,东,3室2厅1卫,3000
独栋·莞寓创业路店2号店押一付一】免租10天】补贴后630元/月起民用水电】08开间,103.00,东,3室2厅1卫,1325-1610
整租·中惠香樟绿洲3室2厅南,102.00,南,3室2厅2卫,2200
独栋·保利和寓保利大都汇超大落地窗一房一厅1室1厅,102.00,南,3室2厅2卫,1630
整租·丽都花园6室2厅东南,102.00,南,3室2厅2卫,4500
独栋·保利和寓保利大都汇全景落地窗复式一房1室1厅,102.00,南,3室2厅2卫,1672
整租·御城花园3室2厅南,102.00,南,3室2厅2卫,3000
独栋·莞寓高峰楼店东城万达毕业生免租十天押一付一每月补贴500元1室1厅,102.00,南,3室2厅2卫,1500
整租·香樟国际2室2厅东南,102.00,南,3室2厅2卫,2000
独栋·莞寓智荟谷·东城万达店毕业生押一可免租10天每月可申领500补贴开间,102.00,南,3室2厅2卫,1197-1290
整租·卓越大厦4室2厅复式南/北,102.00,南,3室2厅2卫,2000
独栋·莞寓创业路店1号店押一付一】免租10天】补贴后600元/月起民用水电】2开间,102.00,南,3室2厅2卫,1233-1355
整租·汇景丰华公馆3室2厅西南,102.00,南,3室2厅2卫,2200
独栋·莞寓石龙龙升店毕业生押一高性价比两房一厅配套齐全补贴后880元/月起2室1厅,102.00,南,3室2厅2卫,1304-1400
整租·龙城国际1室1厅北,102.00,南,3室2厅2卫,1600
独栋·莞寓创业路店2号店押一付一】免租10天】补贴后890元/月起民用水电】09开间,102.00,南,3室2厅2卫,1733
整租·阳光城MODO1室2厅东南,102.00,南,3室2厅2卫,1900
整租·西城楼大街3室1厅东南,102.00,南,3室2厅2卫,3200
整租·东方国际星座2室2厅北,102.00,南,3室2厅2卫,2200
独栋·莞寓石龙龙升店毕业生免租十天精致一房一厅配套齐全补贴后550元/月起1室1厅,102.00,南,3室2厅2卫,976-1160
整租·花样年华1室0厅南,102.00,南,3室2厅2卫,1400
整租·嘉宏锦园3室2厅北,102.00,南,3室2厅2卫,3400
整租·碧桂园常平首府3室2厅南,102.00,南,3室2厅2卫,1900
独栋·莞寓创业路店2号店押一付一】免租10天】补贴后630元/月起民用水电】08开间,102.00,南,3室2厅2卫,1325-1610
整租·卓越蔚蓝郡3室2厅东南,102.00,南,3室2厅2卫,2500
独栋·城家公寓东莞松山湖科学城店免费健身房！超大休闲会客区！独厨独卫开间,102.00,南,3室2厅2卫,2410-4200
整租·花园新村3室1厅西南,102.00,南,3室2厅2卫,1300
独栋·城家公寓东莞松山湖科学城店免费阅读办公区！免费健身房！复式带厨房1室1厅,102.00,南,3室2厅2卫,7350-7400
整租·恒大御景半岛2室1厅西南,102.00,南,3室2厅2卫,1500
独栋·城家公寓东莞松山湖科学城店免费阅读办公区，免费健身房，复式落地窗1室1厅,102.00,南,3室2厅2卫,2410-4300
整租·花样年华1室1厅东北,102.00,南,3室2厅2卫,1300
独栋·城家公寓东莞松山湖科学城店免费健身房！超大休闲区！独厨独卫！落地窗1室1厅,102.00,南,3室2厅2卫,7350-7400
整租·金色半山3室1厅西南,99.00,西南,3室1厅1卫,2800
独栋·莞寓人才社区B区【押一付一】【民用水电】补贴后1000元/月1室1厅,99.00,西南,3室1厅1卫,1688
整租·花样年华1室1厅东北,99.00,西南,3室1厅1卫,1300
独栋·莞寓人才社区B区押一付一近国贸汇一城本科可领补贴500元1室1厅,99.00,西南,3室1厅1卫,1539
整租·嘉宏锦园3室2厅北,99.00,西南,3室1厅1卫,3400
独栋·莞寓侨苑店限时押一付一毕业生免租10天符合条件领住房补贴3室1厅,99.00,西南,3室1厅1卫,1640
整租·碧桂园常平首府3室2厅南,99.00,西南,3室1厅1卫,1900
独栋·莞寓花园新村店阳台小单间限时押一付一毕业生免租10天1室1厅,99.00,西南,3室1厅1卫,1044
整租·卓越蔚蓝郡3室2厅东南,99.00,西南,3室1厅1卫,2500
独栋·莞寓花园新村店限时押一付一补贴后仅租300元毕业生免租10天开间,99.00,西南,3室1厅1卫,716
整租·花园新村3室1厅西南,99.00,西南,3室1厅1卫,1300
独栋·莞寓莞寓市人才安居社区押一付一可申请房补每月伍佰小单间开间,99.00,西南,3室1厅1卫,1035
整租·恒大御景半岛2室1厅西南,99.00,西南,3室1厅1卫,1500
独栋·莞寓柏洲边2号店轻奢小两房2室1厅,99.00,西南,3室1厅1卫,1450
整租·东方国际星座2室2厅南,99.00,西南,3室1厅1卫,2500
整租·万科城市高尔夫花园3室2厅复式南,99.00,西南,3室1厅1卫,4500
整租·万达华府3室2厅东南,99.00,西南,3室1厅1卫,3600
独栋·莞寓柏洲边2号店限时押一付一每月可领500元补贴精装单间开间,99.00,西南,3室1厅1卫,1050
整租·方直星澜4室2厅南/北,99.00,西南,3室1厅1卫,3500
整租·保利珑远国际广场4室2厅南,99.00,西南,3室1厅1卫,3800
整租·皇朝阁1室1厅南,99.00,西南,3室1厅1卫,1200
独栋·莞寓柏洲边2号店补贴后租金低至500元近地铁站精装复式1室1厅,99.00,西南,3室1厅1卫,1050-1080
整租·花样年华1室0厅南,99.00,西南,3室1厅1卫,1200
独栋·莞寓花园路店毕业生免租10天限时押一付一补贴后仅租400元开间,99.00,西南,3室1厅1卫,757-912
整租·碧桂园东江月1室1厅北,99.00,西南,3室1厅1卫,1200
独栋·莞寓花园新村店莞寓直租拎包入住民水民电可领补贴开间,99.00,西南,3室1厅1卫,1330
整租·汉唐蜜园1室1厅南,99.00,西南,3室1厅1卫,1600
独栋·莞寓花园新村店运河边大三房近鸿福路符合条件可领补贴3室1厅,99.00,西南,3室1厅1卫,2498
