名称,位置,总价,每平方单价,介绍
御景湾洋房南北通透户型视野好个人精装修拎包入住,亿诚御景湾三期,40,"4,899元/平",高楼层(共6层)2室1厅|81.65平米|南北
谷歌里 1室1厅 南,谷歌里,48,"12,873元/平",中楼层(共13层)1室1厅|37.29平米|南
青秀蓝湾一期 精装修  高楼层 视野开阔 采光充足,青秀蓝湾一期,155,"16,603元/平",中楼层(共25层)3室1厅|93.36平米|南北
此房属于中楼层  采光好  南北通透  离市场近,五中六高中散盘,20,"4,974元/平",中楼层(共4层)1室1厅|40.21平米|南北
古城甲区，楼层和地脚好，出行方便，适合居住和过度。,古城甲区,46.5,"8,943元/平",中楼层(共5层)2室1厅|52平米|南北
祥和花园 1室1厅 南,祥和花园,55,"10,254元/平",高楼层(共11层)1室1厅|53.64平米|南
金湾山城 1室1厅 南,金湾山城,42.5,"8,116元/平",低楼层(共16层)1室1厅|52.37平米|南
急售亿锋广场 户型好，拎包入住，精装修保持好,亿锋广场嘉苑,83.9,"12,606元/平",低楼层(共32层)2室1厅|66.56平米|南北
龙湖一期一线海景房东区好位置全天采光视野开阔户型好,龙湖金湾天钜,123,"11,348元/平",高楼层(共18层)3室1厅|108.39平米|南北
电梯 洋房上跃 出门车站 实·验育·文地铁4号线,保利罗兰A1区,124.8,"12,777元/平",高楼层(共6层)5室2厅|97.68平米|南北
千山路 2室1厅 南,千山路,47.2,"9,499元/平",高楼层(共7层)2室1厅|49.69平米|南
香海花园 3室2厅 南 北,香海花园,148,"14,382元/平",高楼层(共6层)3室2厅|102.91平米|南北
民众街小房总房款低负担小精装好出租,34中民众街,96.8,"26,994元/平",中楼层(共7层)1室1厅|35.86平米|东
椒房一室 视野采光好 近快轨交通便利 出租自住两相宜,椒房,46.8,"10,791元/平",高楼层(共7层)1室1厅|43.37平米|东西北
大纺新上一楼 南北朝向 户型好 近金三角市场 鹏辉小,八十中红咀街,63.8,"10,570元/平",低楼层(共7层)2室1厅|60.36平米|南北
万科多层精装修位置安静近车站市场适合各个阶段人群,万科假日风景,162,"18,172元/平",低楼层(共5层)2室2厅|89.15平米|南北
钰桥纯封闭人车分流南北通透五明婚装3号线,钰桥中央庭院,139,"15,370元/平",中楼层(共18层)2室2厅|90.44平米|南北
千山心城 一期位置 下楼就是北门  一室一厅南北向,千山心城,56,"13,511元/平",高楼层(共7层)1室1厅|41.45平米|南北
福和街 1室1厅 南 北,福和街,22.5,"6,618元/平",低楼层(共7层)1室1厅|34平米|南北
海湾新城，两室一厅，简单装修，位置好,海湾新城,65,"6,997元/平",中楼层(共15层)2室1厅|92.91平米|南北
