用户名,等级,评论内容,时间,点赞数
小畜神,5,有系统没硬件有个屁用,13分钟前,0
菠萝君_bili,5,"笔记
还是有这样的人才存在啊",18分钟前,0
praesepe,6,话说如果诸如粉色app之类的应用，如果开发者做了鸿蒙版本，但是由于众所周知的原因无法上架应用商店，那么我能自己装吗？,30分钟前,0
远走高飞gold,2,mate40系列有希望更新吗？,50分钟前,0
TinZX,6,这也就是承认之前是套皮安卓了呗,1小时前,1
非零解,6,傻妞傻妞，我想起飞,3小时前,0
那是肥羊吧,6,我关注动态列表里这个一直在前边，不显示投稿时间。有一样的吗,3小时前,8
3easy,6,翻来一看，还是安卓,3小时前,2
葱花Onion_Channel,6,你就说用这个能不能开魔法吧 不上油管和推 至少日常要去个pixiv吧,3小时前,0
油饼食不食の,5,被制裁这几年以来，真的感觉中国的国运开始起势了，高科技领域齐开花,5小时前,1
Pika电量过低,5,能做APP年龄分级吗？,5小时前,0
雅思爸爸,6,有没有人现在还在用4g,6小时前,0
rainaka,6,没有谈谈龚总说的系统每年提升性能超过soc的提升是什么情况？以及怎么实现的吗？,7小时前,0
狗道德,6,当然要加大力度对开发者的支持了！  不然像微软一样 WP 暴死    主流应用必须要有！  功能不能有一点的差异！    有一点的与其他平台不一样就是死！   作为一个老玩家！ MEEGo     旗鱼     wp 都用过  都是前车之鉴！       你有再好的交互体验，和硬件，没有软件支撑那也是一拖垃圾！     抓紧吧！华为,8小时前,1
爱学习的黄东海,5,14代u7的本子能用上吗？,8小时前,0
悍非小可人,4,文件系统最好能像win一样，用户能够管理自由管理自己的文件，不被软件限制。,8小时前,0
告李跳跳的人是,5,可以在鸿蒙NEXT上面套一个安卓转译层吗,8小时前,0
关注张异宾喵,4,鸿蒙next敢用就用吧，这系统用了要我太忠诚了,9小时前,1
天天debug的小白,5,我只想知道，华为的大模型可以像gpt一样帮我写代码和代码纠错吗，比如说帮我写一个最简单的卷积神经网络代码，或者我的图像处理代码出错了它能帮我纠错吗,9小时前,0
丹亚日记,5,我还以为是个体验视频，直到刚才又在动态页面看到这个视频，才发现原来是个推广视频。,9小时前,9
韭菜麻油,6,以前不是原生？,9小时前,0
贫穷又弱小的莫娜酱,5,我不是很懂这些😂好事是好事，就怕，太封闭。要跟苹果一样封闭就没安卓好玩了,9小时前,4
段林飞,6,"苹果有灵动岛
华为有灵动屌",9小时前,1
河川落雨,6,十分钟前刷到，有推广？,9小时前,5
玖又拾分之玖,5,mate40pro终究还是被淘汰了啊,9小时前,1
_Miku-Sama_,6,弹幕两边都在虚空索敌的样子真好笑,9小时前,2
多挣钱少花钱,6,出了就买，手机用了4年了也该换了。,9小时前,2
zjxcza520,5,迫不及待了，啥时候出，我买个新的,10小时前,2
-星雨铃兰-,6,真正的使用电子产品的大众用户，压根就不会管这么多。人人都有手机，但能清晰了解其中原委和优劣的，可能一万甚至十万人里才有一个。我买手机和平板都是看看测评和别人推荐就买了，如果不是感兴趣，谁会关注这些东西啊,10小时前,1
-星雨铃兰-,6,"这些电子产品，光生产制造的厂商国内外就得十几二十几家，产品每家都不一样，每个产品上还有各种各样的部件，每个部件又有对应的乱七八糟的型号参数，眼花缭乱。这还是硬件，软件又有好多系统，每个系统里面还有乱七八糟一堆不一样的设计，千奇百怪的功能，各种各样的实现方式，都不互通。
现在用户选个手机，平板或者电脑的难度和复杂程度，相比十几年前上升了好几个数量级。不深入了解真的看不懂这些东西，麻烦的很",10小时前,1
不带电的粒子,6,升级了是不是用不了telegram了？,10小时前,0
棠溪之金,6,三天前的视频为啥又出现在动态？,10小时前,1
RTX2070S,6,建议p站加速适配,11小时前,0
冰九Ice-nine,6,原来是恰饭啊,11小时前,10
瞳鱼,5,所以鸿蒙NEXT出来之前和安卓有没有关系？,11小时前,1
imeno,5,看到小火箭标志这是被官方买推流了吧？，上了我首页好几天,12小时前,1
世界树下的尼德霍格,6,怎么连续投流发布过去好几天了，天天推，每天打开动态就是这个,12小时前,6
天伻帝埒,4,@谦虚的方卓,13小时前,1
relax_lol,5,P60pro不知道能用上么？高通，4g,13小时前,1
AlexC__,4,NEXT给不给终端玩？不给就6了，那就还要适配,15小时前,0
小坂井綾Aya,6,因为个人软件使用习惯的问题，不考虑升到next，希望4.x版本的维护支持能久点,16小时前,0
快乐的原木,6,"笔记
难为你了",20小时前,23
晓壹是憨憨啊,5,我看到的都是钱钱钱的投入,20小时前,0
雅阁yaga,6,这系统看着真可以，我以后还真有点想买华为的意思了,20小时前,0
幸福的猹拉,5,期待有大神可以jailbreak HOS，iOS越狱这两年真给我玩吐了白苹果了两台机子，安卓root好玩但是玩腻了，该换换味儿了,20小时前,0
不如泡点茶喝喝,3,逛这种论坛肯定很爽 我在字节研发 同事也是一顶一的聪明 感觉交流很爽,20小时前,0
不如泡点茶喝喝,3,云飞什么学历啊 感觉能力很强,21小时前,0
AMX015,6,好像还行，但不支持Youtube和X的话对我没什么意义,21小时前,2
迎春雾寒,6,电脑会适配各种CAD，SolidWorks还有博途啥的软件吗，真的馋新系统功能但这些软件又必须用,21小时前,0
hinextx,6,为什么这个视频一直在动态顶部？,2024-06-27 23:55,9
kkduduer,6,ios一眨眼从垄断邪恶的封闭系统变成了学习赶超的对象了？那我预测明年特斯拉的fsd也是一样的待遇了,2024-06-27 23:53,8
荣耀手机2,5,"要想多设备无缝连接，就必须闭环，iOS就是闭环，后续鸿蒙商店支付抽成也会占主动。另，除非华为以后不做设备，只做系统，否有小米，oppo,vivo等手机商不会用鸿蒙。",2024-06-27 23:51,0
渡渡挤,6,,2024-06-27 23:45,1
心如壹,6,冷知识，next上某个好评如潮的游戏是第一批适配的,2024-06-27 23:39,0
红茶不加果酱,6,有些人真的好急呀，我们承认有差距，但是每一次追赶自主研发不就是在赶上差距吗？看到国产的东西进步你很不开心吗还是只喜欢冷嘲热讽呢？那这么厉害键盘指点江山快点做个同样的东西出来吧,2024-06-27 23:35,1
我缺啊,5,原生应用学学苹果可以一次性收费,2024-06-27 23:25,0
UnlastD,6,期待一手，看实际表现,2024-06-27 23:23,0
元宝不聪明,6,坐等mate70,2024-06-27 23:16,1
公知二狗子的爹,5,纯血鸿蒙的意义就四个字： 自主可控,2024-06-27 23:15,0
蓋蓟,6,"看完了这一次的HDC讲解，我觉得很乐观
突然有一种明朗了的感觉
有一种重新弄了一个戏台的样子
可以让更多的新人不用走之前人的老路
并且后来者的因素，很多的标准制定都会比先前的环境下制定的要更加符合时代的要求和痛点
哎嘿，要不试试能不能申请加入华为的开发者吧，感觉会很有趣",2024-06-27 23:06,1
丘天皮卡,6,想到一个有意思的类比，之前在一个视频下面吐槽过伦敦那个破地铁，然后有人急了，说咱们地铁比他们好是因为人家外国人早都有了，咱们后建的，好是应该的。我回了个so？,2024-06-27 22:30,2
昔日邮递员,6,不准买华为😭都给我买小米哭😭都给我买小米😭都给我买小米哭😭都给我买小米😭都给我买小米哭😭都给我买小米😭都给我买小米哭😭都给我买小米😭,2024-06-27 22:25,2
Rhonin3105,6,开发者工作量+33%~50%,2024-06-27 22:00,0
一碗饭里一千米,2,华为确实牛逼 售后也很好 我之前反应gt4用opx3手机 微信无法开通手表支付 电话反馈后 一个月 手表收到更新 微信手表支付正常开通了,2024-06-27 21:47,0
龙飞九天321,5,微信发文件图片，会出现多张一模一样的照片等，这个解决了吗？,2024-06-27 21:37,0
棘言,6,不得不说一些解决方案确实挺让人眼前一亮的，封闭生态最大的好处就是可以认为所有软件都是系统级，接口直接调用系统也确实是非常理想的方案，直接联动系统增加功能的同时还能缩小体积，目前在安卓上能见到但是很少。全场景功能方面，流转应用的体验应该是独一档的存在了，但是花本身的硬件生态发展还是不如其他厂商的，人车的生态很好但是没有家。ai部分倒是有点平淡了，只能说有创新但是只有一点，说到底用户侧的ai总是感知不强，日常更多的用到的还是简单的问答，应该着力语言模型。next更多的是功在当代利在千秋，如果麒麟能勉强追平上代主流芯片，拿出中端旗舰的话，next还是很值得被看好的，没有必要硬黑了。,2024-06-27 20:50,4
大雷一颗-BigBomb,5,同样都是统一开发，在Windows上的UWP是失败的，在华为的鸿蒙NEXT上却是顺利的。不得不说，上段的态度决定了下段的看法。如果华为能正确决定统一开发的方向，那鸿蒙统一开发的未来一定是成功的,2024-06-27 20:40,3
__程子__,6,以后还能看小电影吗？不能看我就不更新我mate60pro了,2024-06-27 20:34,3
执念乐善,6,很多APP都是网页套壳适配应该挺快的,2024-06-27 20:29,1
改名秦始皇,4,祝华为越做越强，以后p80出来之后我肯定会买Vivox100pro➕的,2024-06-27 20:26,1
黑心魂,4,好大的一个推广火箭啊😋,2024-06-27 20:25,5
绝区零xhomosex,4,讲个笑话，华为想收米哈游50％的分成。,2024-06-27 20:07,1
浅笑小辉,5,小米能刷鸿蒙吗,2024-06-27 20:02,0
shuish0071,5,华为买广力度是真的大,2024-06-27 20:01,12
欧皇殿下NEX,5,鸿蒙是ios那种闭源的吧,2024-06-27 19:51,0
Koofee,3,华为现在按斤批发1纳米光刻机还怕美国制裁？,2024-06-27 19:25,2
麒麟Kirin1020,5,恭喜400万粉，期待抽奖,2024-06-27 18:10,1
张顺绯,5,推广买爆了，热度都不如平时随便发的一个评测视频,2024-06-27 17:46,21
remfelix,6,虽然看不懂在说什么 但是希望小米澎湃赶紧跟上,2024-06-27 17:23,1
马尔科·Reus,6,目前都是苹果安卓双持，以后可能的华为苹果安卓三持了？,2024-06-27 17:23,0
猫爪呸咯呸咯,5,我很想赚钱，有没有黑的带带我,2024-06-27 17:15,0
GTR1141514,3,难受的是纯净模式不能关，高版本，鸿蒙,2024-06-27 17:15,0
gary7000,5,这牛催的、这饭恰的...遥遥领先一骑绝尘,2024-06-27 17:09,13
蔡欣坤,5,挺不错的，等一手ip16看看怎么样,2024-06-27 15:34,0
爱吃薯条树,5,没有matepadair？,2024-06-27 15:13,0
Shaircutter,5,400万粉丝了，来抽奖,2024-06-27 14:53,0
不成功者,2,外行看到的真的是奔着苹果的方向走，全部封闭系统独立ID等等,2024-06-27 14:35,2
高桥狗砸,5,起名字都不会起了吗？国内厂商们,2024-06-27 14:18,0
287138531,6,现实中都是原来的安卓ios码农去加班开发鸿蒙，基本不会增加岗位,2024-06-27 13:30,5
300N,5,幽默火箭标,2024-06-27 13:30,3
hoaryheadp,5,这才是真的对标iPhone，ios、芯片才是苹果的真正护城河。智齿华为，希望几年以后性能跟上，我到时一定买台,2024-06-27 13:16,0
大大大大大大大蛇蛇,6,next目前还是残疾版，太多软件和功能不支持了还是先观望下等过几年再看吧,2024-06-27 13:14,0
薯条蘸Mayo,6,这次友商真的难追上系统了。,2024-06-27 13:10,0
约伊兹的贤狼Holo,5,不够开源，电脑端还得是用Linux，很多github上的开源项目都没有这个系统的，建议多做社区,2024-06-27 13:09,0
买内个,6,很多功能中一个屏幕塞那么多窗口信息，下载一个新软件探窗半天，让喜欢简约的人爱不上。,2024-06-27 13:07,0
可以相信阿胜,6,快称霸全中国让我用上实惠的手机吧,2024-06-27 12:53,1
SukeMeu,6,最大的问题还是在于没有侧载， 要上架app太麻烦了，如果用到了后端需要域名工信部备案，域名公安备案，app需要应用备案，需要上架还需要软著。这也不是华为的问题，但是不支持侧载这些问题就绕不开了，作为个人开发者如果是较大利益其实不太能够去做这个事情，而且很多灰色app不能上架是影响使用的。,2024-06-27 12:52,0
瑟瑟蜂,5,"既恨华为，又要靠华为吃饭。
这就是实力。",2024-06-27 12:37,6
什么都拍的Eric,5,这把真遥遥领先了，下个手机高低换华为,2024-06-27 12:30,1
神戳戳的小岩,6,小艺给我启动灵魂杀手的项目，要人类永生了,2024-06-27 12:21,0
夫人又睡了,5,米在他的面前像刚出生的婴儿,2024-06-27 12:20,14
EndScene,6,现在用iphone15pro 换pura70ultra提升大吗？想要一台影像ok加上系统流畅的旗舰 看到这个鸿蒙next有点心动 但忧虑pura70系列没有3d人脸 所以比较纠结,2024-06-27 12:16,0
朗州司马,5,"很多人说xx系统也有啊，yy系统也有啊
那么如果一个系统拥有所有系统全部优点的时候，那这个系统就无敌了",2024-06-27 12:13,4
雨落青花酒丶,6,以后想用鸿蒙的，做好备用机的准备吧,2024-06-27 11:58,3
不知所日,5,国内正常办公娱乐需求的软件，包括企业内部的那些软件肯定能安排上的，至于床头需求整个备用机不就好了，还防隐私泄露了,2024-06-27 11:56,0
大饼卷肉这一块,5,阿里郎系统,2024-06-27 11:44,3
Cinnamon_Twink,2,烦死了这个品牌,2024-06-27 11:37,7
平平无奇白银纺,6,这个还能做一些比较具有冒险精神的事情么,2024-06-27 11:35,0
之春haru-,5,"没开发出来之前说哄蒙
开发出来之后就说是阿里郎，真是闹麻了
按照之前喜欢windows phone的尿性，大概率下一台手机也会买华为
至于游戏？在ipad上玩，还有台switch，有台iphonese当备机，你杠你对",2024-06-27 11:35,8
哈基米马戏带,5,我如果问AI这期星铁深渊怎么打它能回答我吗？我如果点外卖买东西它能记录下我平时喜欢点啥买啥帮我找到更高性价比的同名或同类产品吗？,2024-06-27 11:22,0
泰格里斯安,5,遥遥领先  遥遥领先,2024-06-27 11:07,2
LexingtonLiu,6,这下必须恩情了,2024-06-27 11:07,4
ANTYD,5,这是国内还是哪里？全是英文,2024-06-27 11:07,0
没有阑尾的兔子,5,看起来确实挺不错的，但是鸿蒙系统好像限制翻墙,2024-06-27 10:47,0
不灭然易,6,哈哈，鲶鱼来喽，这下不得不期待这俩玩意也升级一下了,2024-06-27 10:46,0
不灭然易,6,那只能说IOS老阿里郎了,2024-06-27 10:37,0
我想带你疯,5,建议米粉还是等澎湃 我相信雷军能改变互联网的格局,2024-06-27 10:24,2
乖巧的小西瓜,5,要不是价格原因我真的想下一个手机换华为了，或者华为mate40也不错,2024-06-27 10:20,0
发光管广告歌和,4,天地初开鸿蒙气，盘古助力世界同。,2024-06-27 10:15,0
红叶Suzakuin,3,局域网系统,2024-06-27 10:14,5
量慧实工作室LHStudio,4,这回没法装谷歌框架了,2024-06-27 10:11,0
mikufans天下基友是一家,6,"我觉得我们更需要的是中国版的windows，linux或是android这样的开放生态，这对开发者更有帮助或是对产业更有促进作用，对消费者也更友好。
搞封闭式生态我只觉得可以有但没必要，封闭生态毕竟是个自娱自乐的商业产品",2024-06-27 10:01,4
鹿不想撞,4,"笔记
目前4.2版本的就有拍摄输入",2024-06-27 09:46,0
丶天策上将,4,@AI视频小助理 总结一下,2024-06-27 09:36,0
啊喵喵啊喵,4,那些说小艺 ai 隐私问题的，不要以为自己懂个新词就天天用了，国人谁在乎隐私啊？真要在乎隐私你用现金啊别用支付宝微信。放心吧我们有强大的祖国保护我们的隐私，有后台又怕什么，只要你遵规守纪，有什么不能让别人看的？,2024-06-27 09:25,2
