类别,排序方式,图书名称,图书作者,作者简介,原价,折扣价,图书简介
电子,最新,电子工程师必备 电路板技能速成宝典 第3版,胡斌 胡松,长期从事电子技术基础教学、研究、图书写作工作，已出版176本，一直秉承着以读者为本的理念，减轻读者阅读负担，加之勤于思考、敢于创新、努力写作，在系统、层次、结构、逻辑、细节、重点、亮点、表现力上把握能力强，笔风令读者喜爱，用简单的语句讲述复杂的问题，获得了读者的广泛好评和认可。,139.8,111.84,本书从基础知识讲起，系统地介绍了电路板的关键实操技能，内容包括百余种元器件引脚的识别和检测方法、百余种元器件典型应用电路和单元电路的故障分析及检修方法、电路故障的检查方法、电路板故障机理、使用万用表检测元器件方法，以及有关电路设计的各种知识及应用等。    本书适合立志成为电子工程师的相关专业人员学习和参考，也可以作为电子爱好者案前电路板分析和维修的备查手册。
电子,最新,激光切割与开源机器人制作,郭力 陈付军 温良 寿芳琴 隋杰峰,郭力创客教师，“旺仔爸爸造物社”作者，OSROBOT开源机器人项目联合发起人，从事机器人教育8年、创客教育6年，擅长3D打印、激光切割、开源硬件、编程等技术，扬州市机器人大赛优 秀裁判员、优 秀指导教师，扬州市优 秀科技辅导员，春节宅家小创马和掌控板教学应用设计大赛获奖者，88掌控日受邀主讲嘉宾，与非网《创客邦》节目参演嘉宾，蘑菇云创客空间开放夜分享嘉宾，多篇文章在《无线电》和《爱上机器人》杂志刊登。,89.8,71.84,本书主要介绍使用LaserMaker激光建模软件进行作品结构设计，并将激光切割结构零件与开源机器人套件结合，作者把晦涩难懂的结构知识融入有趣的项目中，在做中学、玩中学的同时激发读者创造力和想象力。    本书包括两部分：第 一部分是基础篇，主要介绍激光建模软件的基础用法，带你从零开始学习如何使用激光建模软件设计一个专属的游乐场，并将设计图纸加工出来，体验从设计到加工的全过程；第 二部分是进阶篇，在基础篇的基础上综合使用各种建模技巧，为游乐场的扩建提供工程设备，完成来自故事中外太空的任务。本书面向科创教育师生及喜欢动手的人群，可作为学习激光切割技术、创客造物的入门读物。
电子,最新,Arduino小型化与TinyML应用从入门到精通,柴火创客空间,柴火创客空间成立于2011年，寓意于“众人拾柴火焰高”。柴火提供原型开发的专业设备和开放的协作环境， 组织多元活动，聚集国际化创新人才，鼓励跨界交流，支持创意落地产品化，积极与本地的供应链协作， 帮助创客快速实现“产品原型—样品—小批量制造—大批量制造”的全过程，推动创新技术与传统产业的对接，助力产业升级。,89.8,71.84,本书是一本结合开源硬件和人工智能的实践书籍。全书分为五大单元，涉及硬件及编程基础、原型设计、项目实践，以及当前热门的TinyML（微型机器学习）应用。书中以Seeed Studio XIAO系列产品为核心，从简单的点亮LED开始，逐步引导读者探索Arduino小型化项目。    本书适合对科技有兴趣的读者，尤其是Arduino和人工智能爱好者。无论读者是否有Arduino编程或电子学基础，均可学习本书，并逐步进行项目实践。在传授知识的同时，本书更鼓励读者创新与自由探索。在第五单元中，展示了众多由Seeed Studio XIAO系列产品创作的项目，旨在激发读者的创造力与探索精神，希望大家能从中发现科技的乐趣与无限可能性。
电子,最新,怎样识读电子电路图 第3版,门宏,门宏长期从事电子、通信与自动控制技术专业的科研、工程、管理和教学工作，先后在《中国高等教育》《无线电》《江苏教育学院学报》等国 家级和省级刊物上发表论文100多篇。正式出版专著20多部，主编出版高职高专规划教材等2部，获得国家专利4项，主持完成和参加省级和校级科研课题2项。,79.8,63.84,怎样识读电子电路图 紧扣“怎样识读电子电路图”的主题，系统地介绍了看懂电路图所须掌握的基础知识和基本方法，并通过具体的电路实例对常用电路进行了具体分析。内容包括电路图基础知识、电路图符号、元器件和集成电路的性能特点与作用、电路图的基本看图方法、基本单元电路工作原理分析、数字单元电路工作原理分析、怎样看电路图实例。    本书内容丰富，取材新颖，图文并茂，直观易懂，具有很强的实用性，可供初学电子技术的读者学习使用，也可作为电子技术爱好者和从业人员的参考书，并可作为职业技术学校和务工人员上岗培训的基础教材。
电子,最新,《无线电》合订本（68周年版·上）,《无线电》编辑部,《无线电》编辑部， 《无线电》于1955年创刊，由工信 部主管、人民邮电出版社有限公司主办、北京信通传媒有限责任公司出版，是国内电子及无线电通信类报刊中创刊早、发行量大的科普杂志。,99.8,79.84,〈无线电〉合订本（68周年版·上）囊括了《无线电》杂志2023年第1～6期创客、制作、火腿、装备、入门、教育、史话等栏目的所有文章，其中有热门的开源硬件、智能控制、物联网应用、机器人制作等内容，也有电路设计、电学基础知识等内容，还有丰富的创客活动与创客空间的相关资讯。这些文章经过整理，按期号、栏目等重新分类编排，以方便读者阅读。     本书内容丰富，文章精练，实用性强，适合广大电子爱好者、电子技术人员、创客及相关专业师生阅读。
电子,最新,《无线电》合订本（68周年版·下）,《无线电》编辑部,《无线电》编辑部《无线电》于1955年创刊，由工信 部主管、人民邮电出版社有限公司主办、北京信通传媒有限责任公司出版，是国内电子及无线电通信类报刊中创刊早、发行量大的科普杂志。,99.8,79.84,〈无线电〉合订本（68周年版·下） 囊括了《无线电》杂志2023年第7～12期创客、制作、火腿、装备、入门、教育、史话等栏目的所有文章，其中有热门的开源硬件、智能控制、物联网应用、机器人制作等内容，也有电路设计、电学基础知识等内容，还有丰富的创客活动与创客空间的相关资讯。这些文章经过整理，按期号、栏目等重新分类编排，以方便读者阅读。     本书内容丰富，文章精练，实用性强，适合广大电子爱好者、电子技术人员、创客及相关专业师生阅读。
电子,最新,数字电路与逻辑设计（慕课版  支持AR交互）,刘培植 孙文生,刘培植:北京邮电大学教授，北京市教学名师，首批全国高校黄大年式教师团队成员，主要从事信息与通信系统研究，两项成果获部级科学技术进步奖三等奖；讲授“数字电路与逻辑设计”和“电子电路基础”等课程超35年，获国家级教改项目二等奖和北京市教改项目一等奖、二等奖等奖项；主编和参编教材共计4部，其中主编的《数字电路与逻辑设计》获评普通高等教育精品教材和“十一五”国家级规划教材。孙文生:北京邮电大学副教授，信息与通信工程学院“数字系统设计”课程负责人，长期从事本科生数字电路课程教学工作，2019年获评全国大学生电子设计竞赛优秀辅导教师荣誉称号，2021年获北京市高校教师教学创新大赛二等奖，2022年获北京市教学成果二等奖，2023年获全国电工电子基础课程实验教学案例设计竞赛华北地区一等奖、全国二等奖。,79.8,63.84,本书是在“新工科”背景下将纸质图书、讲解视频、AR交互动画和电子文档等多种元素紧密结合的新形态教材。本书分为四部分。第一部分讲述数字电子技术基础，共3章，分别为数制与编码、逻辑代数基础和逻辑门电路。第二部分讲述组合与时序逻辑电路，共3章，分别为组合逻辑电路、触发器和时序逻辑电路。第三部分讲述可编程逻辑电路，共2章，分别为存储器及可编程逻辑器件、硬件描述语言Verilog HDL。第四部分讲述信号与波形，共2章，分别为数模转换和模数转换、脉冲波形的产生与变换。本书知识体系完整、内容翔实宜读、表述缜密严谨、语言通俗易懂，注重理论与实践的结合，同时强调相关领域新技术的介绍与应用。本书可作为高等院校电气类专业、自动化类专业、电子信息类专业、计算机类专业等的数字电路相关课程的教材，也可作为相关领域科技人员的参考书。
电子,最新,集成电路封装与测试（微课版）,韩振花，冯泽虎,韩振花，淄博职业学院教师，职务，副教授，电子教育教学部主任，学历，硕士，讲授课程，电子产品设计、集成电路等方向。,56.0,44.80,本书较为全面地介绍集成电路封装与测试技术知识。全书共8 个项目，包括认识集成电路封装与测试、封装工艺流程、气密性封装与非气密性封装、典型封装技术、芯片测试工艺、搭建集成电路测试平台、74HC138 芯片测试和LM358 芯片测试。每个项目均设置了1+X 技能训练任务，帮助读者巩固所学的内容。本书可以作为高职高专集成电路技术、电子信息工程技术等相关专业集成电路封装、测试相关课程的教材，也可以作为集成电路类培训班教材，并适合集成电路测试、芯片封装、芯片制造等专业人员和广大集成电路爱好者自学使用。
电子,最新,自旋电子科学与技术 精装版,赵巍胜 张博宇 彭守仲,赵巍胜中国科学技术协会第十届全 国委员会常务委员会委员、第八届教 育部科学技术委员会委员、北京航空航天大学副校长、自旋芯片与技术全 国重点实验室常务副主任、“空天信自旋电子技术”工信 部重点实验室主任、《集成电路与嵌入式系统》期刊主编。 2019 年入选IEEE Fellow，2020 年入选教 育部“长江学 者奖励计划”，2021 年获科学探索奖和中国电子学会科学技术奖（自然科学）一等奖，2022年获华为奥林帕斯先锋奖，2023 年获中国仪器仪表学会科学技术奖技术发明一等奖，2020—2022 年连续入选爱思唯尔“中国高被引学 者”，曾担任IEEENANOARCH 2016 及ACM GLSVLSI 2020 国际会议大会主席。2007 年获法国巴黎南大学（现巴黎萨克雷大学）物理学博士学位，2009 年任法国国家科学院研究员（终身职位），2013 年入职北京航空航天大学。长期从事自旋电子学、新型信息器件、新型非易失存储器等领域的交叉研究，取得了一系列原创性研究成果。2018—2023 年间，共发表ESI 高被引论文15 篇，总被引20 000余次，H 因子76；获150 余项发明专利授权，产权转让或授权使用50 余项。,218.0,174.40,自旋电子学是凝聚态物理学、物理电子学、微电子学、固体电子学等多学科交叉形成的一门新兴学科，目前已经成为信息科学与技术领域的重要组成部分。利用对电子自旋属性的控制以及电子自旋的诸多效应可以设计电子器件。例如，基于巨磁阻效应的自旋电子器件在硬盘上作为磁头的广泛使用，使硬盘容量在过去20年增长过10万倍，巨磁阻效应的发现者—法国科 学家阿尔贝·费尔（Albert Fert）和德国科 学家彼得·格林贝格（Peter Grünberg）也因此于2007 年被授予诺贝尔物理学奖。    本书基于自旋电子学领域近15年快速发展所取得的重要研究成果编写而成，力求具有前瞻性、系统性和实用性，内容涵盖从物理机理到电子器件、从特种设备到加工工艺、从芯片设计到应用场景的相关知识。全书共14章，主要包括自旋电子的起源与发展历程、巨磁阻效应及器件、隧穿磁阻效应及器件、自旋转移矩效应及器件、自旋轨道矩效应及器件、自旋纳米振荡器、斯格明子、自旋芯片电路设计及仿真、自旋芯片特种设备及工艺、自旋芯片测试与表征技术、磁传感芯片及应用、大容量磁记录技术、磁随机存储芯片及应用，以及自旋计算器件与芯片等内容。本书可作为高等学校自旋电子学相关专业研究生和高年级本科生的教材，也可作为自旋电子学相关领域科研工作者和工程技术人员的重要参考资料。
电子,最新,数字电子技术基础（微课版  附Multisim仿真演示视频）,刘辉  黄灿,刘辉：昆明理工大学，副高级，主要从事智能信号分析与算法、智能控制理论与工程等方面的研究。作为课程负责人，主讲的“数字电子技术”课程2021年被学校认定为“一流本科课程”，教学经验丰富，在培养学生理论水平助力实战技能提升方面心得颇丰，主编过《电子技术实践教程》等教材。,69.8,55.84,本书是将纸质内容、视频讲解、功能模拟、应用仿真、电子文档等紧密结合的新形态教材，可以支撑高校开展线上线下混合式教学。本书以理实一体的方式，结合Multisim仿真手段阐述逻辑代数基础、组合逻辑电路、时序逻辑电路等数字电路内容。本书共10章，分别为绪论、数制和码制、逻辑代数、门电路、组合逻辑电路、触发器、时序逻辑电路、计数器、存储器、矩形脉冲。本书既注重理论知识的深入讨论，又突出课程的实践性与新颖性，可以满足学生理论学习、实践锻炼、应用设计等不同维度的学习需求。本书既可作为数字电子技术课程的主修教材，又可作为数字电子技术课程理论学习、课程设计、项目实践、工程实训的一体化综合教材，还可供相关专业的教学、科研和工程技术人员参考使用。
