纳税人识别号,纳税人名称,纳税人状态名称,登记注册类型小类名称,县区局名称
3.20704E+14,连云港润资咨询中心,注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20704E+14,连云港开发区创利铸造厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20704E+17,开发区残疾人星月综合厂,注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港市华特水表厂,非正常户注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港市华特水表厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港大为联合会计师事务所,注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港金鸿建材销售中心,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
320704X08422064,连云港市华利卫生材料经营部,非正常户注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港开发区金港液化气站,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20706E+14,连云港市富达氧化镁厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20721E+14,连云港磐裕投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20797E+14,连云港益众投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20797E+14,连云港德裕丰投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20797E+14,连云港诺泰投资管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20798E+14,连云港开发区民通新型建材厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20798E+14,连云港大为联合会计师事务所,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320105MA7JQ7RK3H,连云港智融春熙股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320105MA7M7WX3X4,连云港智融源储创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320115MA1XXK1U5U,连云港卫仁医疗科技合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700072750601W,连云港初映企业资产管理合伙企业（有限合伙）,清算,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700323681613X,连云港邦华兴奥投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MA37C47,连云港新芯投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MF52P12,连云港涌海投资管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MFP8Q2A,连云港康瑞企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MFW278D,连云港诺通企业资产管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MG0R24U,连云港涌诚股权投资合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MM7NR5Y,连云港嘉晟节能科技合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1N3MJT4J,连云港钜衡企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1NN7H61W,连云港生命健康产业基金合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
9132070366960317XK,连云港市欧冶机械厂（普通合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703672049480D,连云港天洲联合会计师事务所（普通合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA1PXDL784,北京科家知识产权代理事务所（普通合伙）连云港分所,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA1T4Q7101,连云港盛金鹏皓股权投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
