园区名称,省份,城市,地区,详细地址,大约面积(亩),企业数
江西青山湖高新技术产业园区,江西省,南昌市,青山湖区,东升大道566号,1762,836
江铜集团南昌高新产业园北区,江西省,南昌市,青山湖区,南昌市青山湖区青山湖区高新区高新大道1129号,754,8
南昌综合保税区(火炬三路),江西省,南昌市,青山湖区,高新区火炬三路189号,612,30
南昌出口加工区(火炬三路),江西省,南昌市,青山湖区,南昌市高新区火炬三路189号,571,20
南昌临江商务区,江西省,南昌市,青山湖区,南昌市青山湖区湖西新建区(南昌高新开发区)高新大道1158,415,34
中兴南昌科技园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处(南昌高新开发区)艾溪湖北路688号,396,114
江西恒源科技园,江西省,南昌市,青山湖区,南昌市青山湖区弼水溪附近,389,23
金圣工业科技园,江西省,南昌市,青山湖区,南昌市青山湖区湖西新建区(南昌高新开发区)京东大道201,326,5
南昌民营科技园,江西省,南昌市,青山湖区,南昌市青山湖区塘山镇高新大道696号,290,288
中国(江西)针织服装创意产业园,江西省,南昌市,青山湖区,南昌市青山湖区广州路744附近,273,147
联创电子声像科技园,江西省,南昌市,青山湖区,南昌市青山湖区高新开发区京东大道1699号,236,8
方大科技园(高新大道),江西省,南昌市,青山湖区,南昌市青山湖区高新开发区高新大道1189号,233,5
深国际南昌综合物流港,江西省,南昌市,青山湖区,南昌市青山湖区高椅山二路1318号,195,3
南昌市兆驰科技工业园,江西省,南昌市,青山湖区,南昌市青山湖区朱桥东路与胡家路交叉口西150米,193,2
江西长力工业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌高新区创新一路,176,6
湖坊工业园,江西省,南昌市,青山湖区,南昌市青山湖区顺外路658号,174,200
联创光电科技园,江西省,南昌市,青山湖区,南昌市青山湖区高新开发区京东大道168号,167,59
车仆(南昌)汽车用品产业园,江西省,南昌市,青山湖区,南昌市青山湖区东升大道1688附近,161,8
丰树南昌物流园,江西省,南昌市,青山湖区,南昌市青山湖区冠山管理处,154,-
南昌电子信息(LED)产业创新示范园,江西省,南昌市,青山湖区,南昌市青山湖区昌东大道1111号,153,99
699文化创意园(699创意工场),江西省,南昌市,青山湖区,南昌市青山湖区上海路699号,109,124
森宇小微产业基地,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区昌东工业园东升大道1599号,105,51
昌东工业区湖坊镇工业园,江西省,南昌市,青山湖区,南昌市青山湖区昌东西路,101,153
正邦科技工业园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖一路569东北方向190米,101,61
万科创智公园,江西省,南昌市,青山湖区,艾溪湖管理处艾溪湖北路188号万科海上传奇,98,484
江西芒果电商产业园有限公司,江西省,南昌市,青山湖区,南昌市青山湖区东泰大道811号,97,50
江南园,江西省,南昌市,青山湖区,南昌市青山湖区罗家镇,94,26
百特集团,江西省,南昌市,青山湖区,南昌市青山湖区青山湖高新技术产业园区东升大道699号,91,26
江西省防灾减灾科技园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖二路323号,90,2
江西鄱阳湖旅游企业集团工业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区沈桥路899号,87,11
瑞信工业园,江西省,南昌市,青山湖区,南昌市青山湖区高新开发区富大有路中段,85,12
江西品牌服饰产业园,江西省,南昌市,青山湖区,南昌市青山湖区义坊路38号正西方向190米,83,60
万年青科技园,江西省,南昌市,青山湖区,南昌市青山湖区(南昌高新开发区)京东大道399号,82,62
昌东工业园区义坊村物流产业园,江西省,南昌市,青山湖区,南昌市青山湖区昌东大道,80,5
创业梦想街区创新工场(高新欧洲工业园),江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处高新区高新技术产业开发区京东大道1189号欧洲工业园,78,63
鸿海高新中心,江西省,南昌市,青山湖区,南昌市青山湖区高新七路898附近,78,48
娃哈哈南昌工业园区,江西省,南昌市,青山湖区,南昌市青山湖区民营科技园民营大道,78,-
亿栢嘉进外工业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区东泰大道666号,73,75
瀚泓·青湖产业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌市高新区青山湖大道336号新三中对面,72,3
泰豪高新工业园,江西省,南昌市,青山湖区,南昌市青山湖区紫阳大道辅路,70,895
泰豪科技园,江西省,南昌市,青山湖区,南昌市青山湖区(南昌高新开发区)高新大道590号,69,20
进顺物流园,江西省,南昌市,青山湖区,南昌市青山湖区石桥路199号,67,109
江西恒大文化教育产业园,江西省,南昌市,青山湖区,高新七路与艾湖路街口西北20米,66,34
江西智慧公共安全产业园,江西省,南昌市,青山湖区,南昌市青山湖区东泰大道888号,65,56
江西流量经济产业基地,江西省,南昌市,青山湖区,南昌市青山湖区京东镇月坊胡村168号,65,213
泰豪软件园,江西省,南昌市,青山湖区,南昌市青山湖区湖西火炬大街918号,64,334
科陆电子信息产业园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖四路1066号,63,11
浙江大学国家大学科技园(江西),江西省,南昌市,青山湖区,南昌市青山湖区京东大道与火炬四路交叉口西北约20米,62,92
太酷云介时尚产业园,江西省,南昌市,青山湖区,南昌市青山湖区青山湖大道198号,60,6
邓坊产业园,江西省,南昌市,青山湖区,南昌市青山湖区谢佛路1489号,59,23
雅言人文化教育创意产业园,江西省,南昌市,青山湖区,南昌市青山湖区创新二路80号,53,128
南昌平思电子产业园,江西省,南昌市,青山湖区,南昌市青山湖区谢埠路胡氏产业园东侧约130米,53,1
罗万工业园,江西省,南昌市,青山湖区,南昌市青山湖区高新大道688号,52,15
南昌高新区创业中心孵化基地,江西省,南昌市,青山湖区,南昌市青山湖区火炬五路719号,50,273
天佑医药物流园,江西省,南昌市,青山湖区,南昌市青山湖区白水湖路与英雄七路交叉口南200米,50,-
南昌大学国家大学科技园,江西省,南昌市,青山湖区,湖西新建区(南昌高新开发区)高新大道589号,49,132
康华园,江西省,南昌市,青山湖区,南昌市青山湖区东华大道1附近,48,206
鸿兴产业园,江西省,南昌市,青山湖区,南昌市青山湖区胡家路789号,44,15
江西跨境电商产业园,江西省,南昌市,青山湖区,解放东路899号,43,109
鸿雁小微企业创业园,江西省,南昌市,青山湖区,南昌市青山湖区洪都中大道158号鸿雁电子广场,42,49
江西国信医药谷,江西省,南昌市,青山湖区,南昌市青山湖区南京东路898号,40,217
江西二十一世纪钢铁园,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区青山路街道东升大道889号,38,14
国家文化科技融合基地(建设中),江西省,南昌市,青山湖区,南昌市青山湖区火炬五路与东箭路交叉路口东侧(绿地玫瑰城),38,-
昌东胡家村产业园,江西省,南昌市,青山湖区,东升大道与昌南大道交叉口东南150米,37,6
博涵服装创意园,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区高新南大道2666号易佰家对面,36,23
