书名,价格,作者,出版社,好评率,简介
刑法练习题集（第七版）（21世纪法学系列教材配套辅导用书）一套畅销二十年、遍及全国600所法学院校的教学辅导书，教师人人推荐，学生口口相传。一书在手，考试不愁。,65.30,王作富,中国人民大学出版社, 80%,
民法练习题集（第六版）（21世纪法学系列教材配套辅导用书）,103.70,王轶,中国人民大学出版社, 100%,
艺术概论（王宏建主编）（本书是全新修订版，是一本经得起时间和实践检验近30年的艺术理论教材。）,44.90,王宏建,文化艺术出版社, 90%,这是一本以专业艺术教育为主、兼顾普通高校艺术教育的艺术理论教材。 《艺术概论》一书首次出版为1983年，那正是中国艺术教育大发展的年代；该书的出版受到高等艺术院校师生们的热烈欢迎。 随着时代的发展，中国的艺术教育事业也在与时俱进。为了适应不断发展、飞速提高的艺术教育水平，1998年在文化部教科司的指导下，由文化部所属艺术院校的资深教授们组成编写组；2000年，新版《艺术概论》出版，当年获评 高等艺术教育 九五 部级教材 ，并列入文化部、**部共同组织的 中国艺术教育大系 。 2006年，根据六年的教学反馈，对新版《艺术概论》做了勘误修订，并成功申报为**部 普通高等教育 十一五 规划教材 。 2010年，为保证高等院校艺术教育的高质量、高水平，由原编写组的教授们，根据国内外的学术观点、艺术教育理论和十年来的教学实
罗宾斯管理学(第15版)（工商管理经典译丛）考研参考书，全国优秀畅销书2022年新版管理学大师罗宾斯博士代表作，管理学教材的典范。新书指定配套正版学习指导习题详解，复制链接可购买http://product.dangdang.com/29393201.html,94.10,斯蒂芬、罗宾斯、玛丽、库尔特,中国人民大学出版社, 90%,
汇编语言(第4版）畅销近20年，100多所高校指定教材，作者维护专业论坛，为教师用户提供丰富教学资源：电子课件，多套试卷，自动评分考试系统,47.50,王爽,清华大学出版社, 100%,《汇编语言》是我国计算机科学教育领域的部重要的经典著作。本书可用作大学计算机专业本科生的汇编教材及希望深入学习计算机科学的读者的自学教材。 本书自出版以来，受到业�茸�家和高校教师、广大计算机专业学生和计算机科学与技术学习者的热烈欢迎和高度评价。100多所高校用作教材，取得了非常好的教学效果。很多人在网络上将其 与国外同专业名著相并列向广大读者推荐。本书很大程度地推动了我国计算机科学与技术教育的发展。本书出版15年连续印刷了45次，成为本专业学生和广大学习者的书。 为满足新的出版需要，本社特请王爽老师对此书的第3版进行了修订，出版第4版，以飨读者。
逻辑学导论（第15版）畅销全球数十年的经典逻辑学教程。,133.50,欧文・M.柯匹、卡尔・科恩、维克多・罗迪奇,中国人民大学出版社, 90%,
六西格玛绿带手册（中国质量协会六西格玛绿带注册考试指定辅导教材）,79.00,中国质量协会组织、何桢,中国人民大学出版社, 20%,
罗宾斯组织行为学（第18版）（工商管理经典译丛）考研参考书罗宾斯教授的经典著作，被视为组织行为学用书的权威标准。,91.20,斯蒂芬・罗宾斯、Stephen、Robbins,中国人民大学出版社, 90%,本书非常适合高校本科生、研究生、MBA学员及相关专业学位人员学习使用，还可作为企业管理人员的在职学习和培训用书。
货币金融学（第十二版）（经济科学译丛）团购电话4001066666转6全球范围内金融学领域的经典之作，考研考博指定参考书，配有学习指导书，登录出版社官网提供教师认证电子资源，同时本书配备学习指导书，包含课后题答案和学习指导重点等。,94.10,弗雷德里克・S.米什金、Frederic、S.Mishkin,中国人民大学出版社, 90%,
情绪、学习与脑：探索情绪神经科学对教育的启示一本改变教师和家长对学习误解的书籍，少有的将前沿心脑神经科学融入教育，提高认知天性，掌控情绪，认识自己，接纳自己，获得反脆弱能力，收获真实的创造力和幸福力……,38.60,玛丽・海伦・爱莫迪诺、周频、陈佳、张立飞、胡安明,清华大学出版社, 100%,近几十年来认知神经科学的突飞猛进对那些涵盖心智或认知的传统研究领域，包括教育学、语言学、心理学、经济学、法学、计算机科学，甚至哲学、音乐学、舞蹈学等都带来了巨大的冲击和挑战 有些或许不得不逐渐告别传统的研究范式，调整学科构架和知识结构，建立新的理论假设。本书将是我们对学习的一个重要研究创新，为教育工作者带来了崭新的视角
人力资源管理（第14版）（工商管理经典译丛）2023年升级版，本书是国际知名的人力资源管理学者德斯勒教授的经典著作，作者以严谨的写作态度和流畅的表达风格，系统阐述了人力资源管理的基本概念、理论与实践，深受世界各地读者的欢迎。,91.20,加里、德斯勒、Gary、Dessler,中国人民大学出版社, 90%,
六西格玛管理统计指南――MINTAB使用指导（第3版）（中国质量协会六西格玛黑带注册考试参考用书）团购电话4001066读者心中的“蓝宝书“，中国质量协会六西格玛黑带注册考试参考用书配套资源：数据文件,89.00,马逢时、周��、刘传冰,中国人民大学出版社, 90%,
刑事诉讼法练习题集（第六版）（21世纪法学系列教材配套辅导用书）一套畅销二十年、遍及全国600所法学院校的教学辅导书，教师人人推荐，学生口口相传。一书在手，考试不愁。,58.00,程荣斌、陶杨,中国人民大学出版社, 100%,
SPSS统计分析入门与应用精解（视频教学版）从基础原理到操作精解从数据分析到案例应用,95.10,杨维忠、张甜,清华大学出版社, 100%,本书的特色在于精解常用统计分析方法的基本原理与完整SPSS操作，不仅对相关统计分析概念进行介绍，对涉及的窗口界面进行完整而深度的解读，明确了操作中各个选项的适用情形，也对分析结果也进行了深入浅出、全面准确的讲解，使得读者能够根据实际研究需要灵活选取恰当的分析方法，能够认识每种分析方法的SPSS操作全貌，恰当设置操作选项，能够对分析结果进行准确解读，知晓数据分析结论代表的实际意义，达到 知其然，又知其所以然 的效果，能实现数据分析能力的提高，同时也能实现学术或实践研究能力的提高。
市场营销：原理与实践（第17版）（工商管理经典译丛)团购电话4001066666转6科特勒全新版本，配备中英文PPT，中英文教师手册，英文题库。,91.20,菲利普・科特勒、加里・阿姆斯特朗,中国人民大学出版社, 100%,
基础会计（第7版）,30.00,陈国辉、迟旭升,东北财经大学出版社有限责任公司, 90%,国家重点学科 东北财经大学会计系列教材 十二五 普通高等教育本科国家 极规划教材 国家 级精品课程教材 全国优秀畅销书 本书为任课教师配备教学资源包，内容包括： 并有网络版电子课件、网络版教学大纲，教师会员登陆我社网站免费下载。
微观经济学习题集（第三版）（21世纪经济学系列教材0配套高鸿业经典教材，兼顾多种《西方经济学》教材，精编习题，答案详细；题型全面，重点突出,48.00,张顺,中国人民大学出版社, 100%,
微观经济学（第九版）（经济科学译丛）团购电话4001066666转6平狄克经典著作，考研考博指定参考书，配有学习指导书,89.30,罗伯特・S.平狄克,中国人民大学出版社, 90%,
