书名,作者,总点击量,字数,简介
都市：我是世界大亨,我是小美,7003万,1204万,重生到了1979年，苏家还是燕京顶级大家族，老爷子还未逝世，家族如日中天之时。是从政？力挽苏家败势，登上无上权力还是跟随出国潮流？或者是如同前世......
神话纪元：神树临世（从大树开始的进化）,绯红之夜,6474万,825万,重生成为了一株柳树！！还不等虞子瑜适应这熟悉而又陌生的环境，竟是赶上了灵气复苏的大时代。灵气复苏，万物崛起...猛兽咆哮，震动山河，强者横空，直......
都市之影视穿越大反派,十字路口,5191万,855万,�潘垦钣鹨酝饣竦谩坝笆泳绶磁纱┧笙低场被竦昧擞笆泳绲拇┰侥芰Α４樱ㄇ叭沃�再见前任）开始。爽文.......ps:新人上路，请多多指教。（本故事及......
神豪：从零踏上世界巅峰！,白魔海,5091万,842万,高考之后获得神豪系统应该如何走上世界巅峰？以投资为基石，以银行为核心，以科技为方向，以利润为目标，安良构建庞大的金融商业帝国，成立跨越地域国界的......
三国之无上至尊,绿茶包子,5045万,935万,刘昊意外穿越到狼烟并起的三国，变成了大汉皇叔！有无上霸主系统加身，刘昊可以抽取史上猛将、绝世神功、万界美女...还能吞食天地气运，万界荒古独尊！......
重生之枭雄崛起,大大卷,5036万,529万,苏平南在20年后才明白自己不过是个遍体鳞伤的老混混，他在灯红酒绿的都市中苟延残喘的活着。卑微的如同街边流浪的老狗。老天给了他再来一次的机会，那一......
网游之我有十倍攻速,猫之影,5018万,894万,【无敌网游爽文】公元2020年，世界开发的网游《神域》震撼公测，金币兑换现实币，吸引了全球无数玩家。世界各国，为争夺游戏资源大打出手。秦风是一名......
我师父是林正英,一地金的信徒,5000万,632万,许岩穿越了，还得到了功德系统！！这，是一个妖魔鬼怪影视的世界位面，而他是九叔的徒弟。天地灵气匮乏，妖魔横行，僵尸鬼怪肆虐，许岩带着自己的系统，一......
特种兵之无敌死神,保密局有点黑,4874万,1473万,地下世界最强雇佣兵代号‘死神’的韩飞，以一人之力灭掉了地下世界的最强组织后，穿越进入了‘我是特种兵’世界。这是一个混乱的特种兵世界，这里有庄焱，......
柯南之我懂兽语,菜刀小医生,4849万,1440万,都说人有人言，兽有兽语，可是穿越到柯南世界的沐天远却因为一个看起来很劣质的传承变得可以和动物们进行交流，本来对于这个金手指不太满意的沐天远却慢慢......
武侠之气运掠夺,木易公子,4807万,1456万,这是一个主角获得逆天气运系统征战诸天万界聚敛气运的故事！武道世界我为尊！诸天万界我称雄！弹指惊天傲苍穹！绝世红颜游九霄！PS：这是一个从武侠世界......
万界之至尊信仰,我真不是大帅哥,4786万,821万,（延禧攻略卷开始）在爱情公寓中成为世纪大文豪，收获无数信仰，在水浒中假扮无上帝君，传播信仰，活佛济公中成为无上武祖，以武道逆仙道，蜀山战纪中成为......
都市娱乐之全能大明星,满纸方唐,4776万,2015万,穿越了，还获得一个很牛X的系统。从此：唱歌演戏不是事，写歌作词太容易，综艺搞笑小意思，娱乐圈里我第一！！有了系统，我就是全能大明星！！（求收藏求......
野外生存玩家公敌,绝地老司机,4770万,475万,叶寒穿越平行世界，获得玩家公敌系统，击杀知名度越高的玩家，得到的奖励越丰富。“叮，击杀普通玩家，奖励一千RMB！”“叮，击杀全自动狂魔，奖励八百......
武侠：玩家模板，开局十年功力！,大千岁,4762万,1302万,得到游戏系统面板，一切天下尽得我手！做做任务、杀杀人，经验值飙升，轻松升级！提升实力，从未如此简单！“本公子所到之处，众生尽臣服！！！”――――......
柯南之女神守护,白小歪,4747万,893万,穿越到名侦探柯南的世界，成为犯罪心理学和微表情学专家，同时身为帝丹学园备受尊崇的教授，警视厅权势滔天的警督，将会改写出怎样的传奇？原著那些女神们......
都市之创造万界,三生烟火,4712万,496万,赵阳带着一款脑洞越大系统越强的系统穿越了，只要让别人震撼，就可以让系统变强？当红花旦赵颖拍戏不慎落入万丈高崖，三天后，赵颖得奇遇，修神功，一跃而......
都市之超级奶爸,我爱打酱油,4696万,480万,很多时候，有人很牛逼哄哄地表示：打得你叫爸爸！但是，当有一天，真的有一个小萝莉突然冲到你面前抱着你的大腿叫爸爸时，你会有什么反应？至少，本书主人......
