名称,岗位类型,薪资,福利,公司,地址
南关岭圆通直招操作包吃住,普工,4500-7000元,包吃/加班补助/包住,圆通速递有限公司,甘井子区|南关岭
空调安装学徒工,普工,2000-3000元,包住/饭补/交通补助,大连圣垣空调机电设备工程有限公司,甘井子区|华南
安装门头牌匾工人,普工,面议,急招,大连佰度广告传媒有限公司,沙河口区|西安路
高薪+汽车修理工包吃住,普工,4000-8000元,包吃/包住/年底双薪,甘井子区华东路车意升汽车保养厂,甘井子区
洗车工,普工,面议,包吃,普兰店区万力汽车维修服务中心,普兰店|丰荣
安装工,普工,面议,包吃/包住,沙河口区洪乐装饰材料商行,甘井子区|辛寨子
板式家具安装工焊接工,普工,4000-7000元,包住/交通补助/饭补/加班补助/福利待遇好/工作轻松/提供五险,大连瑟维斯实验室设备有限公司,甘井子区|辛寨子
普工,普工,3000-5000元,包吃/包住,中山区酉润汽车服务中心,西岗区|高尔基路
铣床大工,普工,面议,包吃/加班补助,大连彤炜工业有限公司,金州区|光明
裱糊工,普工,2500-4000元,五险/午餐,大连福山包装材料有限公司,甘井子区|美林园
铣床工,普工,面议,包吃/包住,大连恒峰精密机械有限公司,开发区|十里岗
户外安装,普工/技工其他,4500-7000元,包住/包吃/交通补助/加班补助/房补,大连中宸广告有限公司,开发区
技工和普工,钣金工,4000-6000元,急招,大连伟邦建安工程有限公司,甘井子区|营城子
压熨工,压熨工,4000-5000元,交通补助,沙河口区净美洗衣店,沙河口区|南沙
加工中心大工,食品加工/处理,面议,五险一金/包住/加班补助/包吃,琅锐（大连）精密机械制造有限公司,开发区
加工中心大工,车工/铣工,7000-10000元,急招,大连利成精工机械有限公司,旅顺口|水师营
汽车修理大工/中工及学徒,汽车修理工,8000-10000元,包吃/包住/加班补助/月休三天,大连经济技术开发区馨佳园瑞达汽车配件商行,开发区|保税区
八一路招高价送餐员,送餐员,7000-9000元,包住/加班补助,沈阳鑫盛泰餐饮管理有限公司,西岗区|新起屯
5k诚招营业员,店员/营业员,4000-8000元,环境好/节日福利/五险,甘井子区周水子街道考诺保健品商行,金州区|拥政
开发区湾里万达送餐员骑手,送餐员,6500-8900元,加班补助/年底双薪/包住/交通补助/房补/话补/饭补/免费电动车,鑫俊达（美团合作商）,开发区|安盛
皮鞋制造生产,普工/技工其他,4000-5000元,交通补助/饭补/五险,甘井子区红旗街道德技鞋业皮具店（个体工商户）,甘井子区|红旗中路
厨师,厨师/厨师长,面议,急招,甘井子区辛寨子街道惠子冷面烤肉店,甘井子区|机场前
前关大连湾骑手配车0元入,送餐员,6000-9000元,加班补助/包住/交通补助/房补/0元入职/有师傅带/无押金,鑫盛泰（美团合作商）,甘井子区|前关
商贸工厂送物流C1司机,货运司机,7500-12500元,交通补助/加班补助,大连密巴巴道路货运服务有限公司,金州区|站前
菜鸟驿站店员,店员/营业员,3500-4500元,急招,中山区彭辉搬运装卸行（个体工商户）,中山区|跃进路
火锅店服务员,服务员,面议,急招,大连长兴岛经济区长兴岛办事处围炉火锅店,甘井子区|庙岭
服务员,服务员,5000-6000元,急招,甘井子区泡崖街道大水市场蒙羊羊全羊店（个体工商户）,大连周边
收银员,收银员,面议,急招,大连蓝溪汤泉洗浴休闲有限公司,甘井子区|泉水
高端写字楼诚聘精英销售,房产经纪人,6000-12000元,周末双休/高薪/补助,大连家呗置业代理有限公司,中山区|中山广场
广告销售,销售代表,面议,急招,大连静逸轩文化传媒有限公司,中山区|人民路
