stock_code,company_name,business_scope,province,actual_controller
SH603350,安乃达驱动技术(上海)股份有限公司,电动两轮车电驱动系统研发、生产及销售。,上海市,黄洪岳 (27.97%)，卓达 (25.34%)
SZ300486,东杰智能科技集团股份有限公司,智能物流系统的研发、设计、制造、安装与调试。,山西省,淄博市财政局 (29.08%)
SZ300546,深圳市雄帝科技股份有限公司,以可信身份技术、人工智能技术、数字安全技术、区块链等技术，为全球政府、机构、企业等用户提供融合线上、线下多场景应用的身份识别与智能化管理整体解决方案。,广东省,高晶 (31.79%)，郑嵩 (5.70%)
SZ300549,优德精密工业(昆山)股份有限公司,车模具零部件、半导体及计算机模具零部件、家电、空调模具零部件、自动化设备零部件、制药模具及医疗器材零部件等的研发、生产和销售。,江苏省,曾正雄 (32.28%)
SZ301261,河北恒工精密装备股份有限公司,精密机加工件及连续铸铁件的研发、生产和销售。,河北省,魏志勇 (54.06%)，杨雨轩 (2.92%)
SZ300391,长江医药控股股份有限公司,医药制造业及新能源业，以医药制造业务为主，光伏设备业务并进发展。,湖北省,吴敏文 (2.16%)，宁新江 (1.44%)
SZ301131,广州市聚赛龙工程塑料股份有限公司,改性塑料的研发、生产及销售。,广东省,郝源增 (24.55%)，任萍 (18.14%)，郝建鑫 (4.82%)，吴若思 (1.38%)
SZ300120,天津经纬辉开光电股份有限公司,液晶显示和触控显示模组、电磁线、电抗器的研发、生产和销售。,天津市,董树林 (10.79%)，张国祥 (5.28%)，张秋凤 (4.58%)
SH600811,东方集团股份有限公司,现代农业及健康食品产业。,黑龙江省,张宏伟 (28.61%)
SZ002713,东易日盛家居装饰集团股份有限公司,整体家装设计、工程施工、主材代理、自产的木作产品配套、软装设计及精装后的家居产品等家居综合服务。,北京市,陈辉 (34.20%)
SZ002689,沈阳远大智能工业集团股份有限公司,客梯、自动扶梯、自动人行道及配套件的产品研发、生产、销售及整机产品的安装和维保业务。,辽宁省,康宝华 (50.60%)
SH605228,神通科技集团股份有限公司,汽车非金属部件及模具的研发、生产和销售。,浙江省,方立锋 (31.25%)，陈小燕 (4.67%)
SH603155,新亚强硅化学股份有限公司,有机硅精细化学品研发、生产及销售。,江苏省,初琳 (46.37%)，初亚军 (1.53%)
SZ002979,深圳市雷赛智能控制股份有限公司,运动控制核心部件的研发、生产和销售。,广东省,李卫平 (34.88%)，施慧敏 (7.88%)
SH600297,广汇汽车服务集团股份公司,乘用车经销、乘用车售后服务、乘用车衍生服务等覆盖乘用车服务全生命周期的业务。,辽宁省,孙广信 (16.36%)
SH600476,湖南湘邮科技股份有限公司,信息产品销售、平台运营、软件开发、运维服务、系统集成。,湖南省,中华人民共和国国务院 (39.33%)
SH603920,广东世运电路科技股份有限公司,各类印制电路板(PCB)的研发、生产与销售。,广东省,佘英杰 (47.93%)
SZ002527,上海新时达电气股份有限公司,智能制造业务、工业机器人业务、运动控制业务、电气控制业务、变频驱动业务。,上海市,纪德法 (17.94%)，刘丽萍 (5.96%)，纪翌 (5.42%)
SH603320,浙江迪贝电气股份有限公司,家用、商用、车载压缩机密封电机的研发、生产及销售，并开展直流变频电机驱动控制器的研发、销售业务。,浙江省,吴建荣 (39.21%)，吴储正 (26.29%)
SZ000679,大连友谊(集团)股份有限公司,以零售业、酒店业、房地产业为主，其它策略性投资为补充。,辽宁省,陈志祥 (12.12%)
SH600518,康美药业股份有限公司,中药饮片生产、销售为核心，实施中医药全产业链一体化。,广东省,马兴田 (32.67%)
SZ002373,北京千方科技股份有限公司,智慧交通和智能物联，大数据和人工智能。,北京市,夏曙东 (20.43%)
SZ301260,格力博(江苏)股份有限公司,从事新能源园林机械的研发、设计、生产及销售。,江苏省,陈寅 (56.11%)
SZ300245,上海天玑科技股份有限公司,IT支持与维护服务、IT外包服务、IT专业服务、IT软件服务等技术服务以及软、硬件销售业务。,上海市,苏博 (12.96%)
SZ002599,北京盛通印刷股份有限公司,印刷综合服务业务、科技教育业务。,北京市,栗延秋 (21.34%)
SZ300641,江苏正丹化学工业股份有限公司,高端环保新材料和特种精细化学品的研发、生产和销售。,江苏省,"曹正国,沈杏秀 (34.40%)"
SZ000861,广东海印集团股份有限公司,商业物业运营、金融服务、光伏发电等业务。,广东省,邵建明 (17.44%)，邵建佳 (4.65%)，邵建聪 (3.49%)
SH688090,广州瑞松智能科技股份有限公司,机器人、机器视觉、工业软件、智能制造领域的研发、设计、制造、应用和销售服务，为客户提供柔性自动化、智能化系统解决方案。,广东省,孙志强 (29.88%)
SZ301596,成都瑞迪智驱科技股份有限公司,自动化设备传动与制动系统关键零部件研发、生产与销售。,四川省,卢晓蓉 (33.66%)，王晓 (12.70%)
SZ001336,杭州楚环科技股份有限公司,废气恶臭治理设备的研发、设计、生产和销售，水处理设备销售及设备维修服务。,浙江省,陈步东 (26.01%)，吴意波 (8.87%)
SZ300012,华测检测认证集团股份有限公司,食农及健康产品服务、环境检测业务、建筑工程及工业服务、计量与数字化服务、海事及自然资源服务、绿色低碳和ESG服务、消费品服务、汽车及金属材料服务、电子科技服务和医药及医学服务。,广东省,万峰 (14.94%)
SZ300580,无锡贝斯特精机股份有限公司,精密零部件和智能装备及工装产品的研发、生产及销售。,江苏省,曹余华 (55.89%)
SH688668,东莞市鼎通精密科技股份有限公司,研发、生产、销售高速通讯连接器及其组件和汽车连接器及其组件。,广东省,王成海 (31.12%)，罗宏霞 (18.08%)
SZ002556,安徽辉隆农资集团股份有限公司,化肥、化工和农药产品的内外贸分销业务。,安徽省,安徽省供销合作社联合社 (32.26%)
SZ300716,广东泉为科技股份有限公司,低碳、环保高分子材料及其相关产品业务和汽车配件市场业务；异质结(HJT)电池、组件、钙钛矿、工商业储能等产品的技术研发、生产、销售业务。,广东省,褚一凡 (20.90%)
SZ002050,浙江三花智能控制股份有限公司,制冷空调电器零部件业务和汽车零部件业务。,浙江省,张亚波 (11.74%)，张少波 (9.17%)，张道才 (3.71%)
SH600112,贵州长征天成控股股份有限公司,电气设备制造、矿产资源开发业务以及金融业务。,贵州省,广西壮族自治区人民政府国有资产监督管理委员会 (12.08%)
SZ000908,湖南景峰医药股份有限公司,医药产品的研发、制造与销售。,湖南省,叶湘武 (13.74%)
SZ002656,摩登大道时尚集团股份有限公司,自有品牌卡奴迪路（CANUDILO）高级男装的研发设计、组织外包生产、品牌推广和终端销售，以及开展国际一二线服装品牌的代理业务。,广东省,林永飞 (2.90%)
SZ002452,长高电新科技股份公司,输变电一二次设备的研发、生产和销售，电力设计和工程服务以及新能源电力开发。,湖南省,马孝武 (13.59%)
SZ000506,中润资源投资股份有限公司,以黄金为主要品种的矿业开采。,山东省,郭昌玮 (0.02%)
SH603003,上海龙宇数据股份有限公司,数据中心(IDC)业务和大宗商品贸易。,上海市,徐增增 (13.16%)，刘策 (13.10%)，刘振光 (7.63%)
SZ000622,恒立实业发展集团股份有限公司,汽车空调及零部件业务和贸易。,湖南省,马伟进 (16.37%)
SZ300991,深圳市创益通技术股份有限公司,精密连接器、连接线、精密结构件等互连产品的研发、生产和销售。,广东省,张建明 (39.57%)，晏美荣 (1.50%)
SH600501,航天晨光股份有限公司,核工装备、智能制造、航天防务、后勤保障、环保装备、柔性管件、压力容器、艺术工程等多个领域的产品研发、生产和销售。,江苏省,国务院国有资产监督管理委员会 (45.76%)
SZ002822,深圳市中装建设集团股份有限公司,建筑装饰业务、物业管理服务。,广东省,庄小红 (24.67%)，庄展诺 (10.23%)，庄重
SZ301169,北京零点有数数据科技股份有限公司,公共事务数据分析与决策支持服务和商业数据分析和决策支持服务。,北京市,袁岳 (17.13%)
SZ300626,华瑞电器股份有限公司,小功率电机和微特电机换向器的研发、设计、生产和销售。,浙江省,梧州市人民政府国有资产监督管理委员会 (18.50%)
