company_name,manager_name,manager_position
安乃达驱动技术(上海)股份有限公司,黄洪岳,董事长
安乃达驱动技术(上海)股份有限公司,朱南文,独立董事
安乃达驱动技术(上海)股份有限公司,蒋德权,独立董事
安乃达驱动技术(上海)股份有限公司,张琪,独立董事
安乃达驱动技术(上海)股份有限公司,李进,董事
安乃达驱动技术(上海)股份有限公司,卓达,董事
安乃达驱动技术(上海)股份有限公司,夏业中,董事
安乃达驱动技术(上海)股份有限公司,杨锟,董事
安乃达驱动技术(上海)股份有限公司,盛晓兰,董事
安乃达驱动技术(上海)股份有限公司,张亲苹,监事会主席
安乃达驱动技术(上海)股份有限公司,王素华,监事
安乃达驱动技术(上海)股份有限公司,王静,职工监事
东杰智能科技集团股份有限公司,娄刚,董事长
东杰智能科技集团股份有限公司,梁燕生,副董事长
东杰智能科技集团股份有限公司,蔺万焕,副董事长
东杰智能科技集团股份有限公司,阴慧芳,独立董事
东杰智能科技集团股份有限公司,陈国锋,独立董事
东杰智能科技集团股份有限公司,朱黎庭,独立董事
东杰智能科技集团股份有限公司,王吉红,董事
东杰智能科技集团股份有限公司,张昊,董事
东杰智能科技集团股份有限公司,王永红,董事
东杰智能科技集团股份有限公司,张文清,监事会主席
东杰智能科技集团股份有限公司,黄志平,监事
东杰智能科技集团股份有限公司,张磊,监事
东杰智能科技集团股份有限公司,丁鹏辉,职工监事
东杰智能科技集团股份有限公司,侯晋雷,职工监事
东杰智能科技集团股份有限公司,王振国,总经理
东杰智能科技集团股份有限公司,郝志勇,副总经理
东杰智能科技集团股份有限公司,郭强忠,副总经理
东杰智能科技集团股份有限公司,朱忠义,副总经理
东杰智能科技集团股份有限公司,张新海,副总经理
东杰智能科技集团股份有限公司,张路,财务总监
深圳市雄帝科技股份有限公司,高晶,董事长
深圳市雄帝科技股份有限公司,胡皓华,独立董事
深圳市雄帝科技股份有限公司,安鹤男,独立董事
深圳市雄帝科技股份有限公司,漆韡,独立董事
深圳市雄帝科技股份有限公司,谢向宇,董事
深圳市雄帝科技股份有限公司,郑嵩,董事
深圳市雄帝科技股份有限公司,彭德芳,董事
深圳市雄帝科技股份有限公司,陈先彪,董事
深圳市雄帝科技股份有限公司,唐孝宏,董事
深圳市雄帝科技股份有限公司,刘金瑞,监事会主席
深圳市雄帝科技股份有限公司,韩家伟,监事
深圳市雄帝科技股份有限公司,杨婧,监事
深圳市雄帝科技股份有限公司,薛峰,副总经理
深圳市雄帝科技股份有限公司,郭永洪,财务总监
优德精密工业(昆山)股份有限公司,曾正雄,董事长
优德精密工业(昆山)股份有限公司,董希淼,独立非执行董事
优德精密工业(昆山)股份有限公司,杨艳波,独立董事
优德精密工业(昆山)股份有限公司,江慧,独立董事
优德精密工业(昆山)股份有限公司,吴宗颖,董事
优德精密工业(昆山)股份有限公司,杨凌辉,董事
优德精密工业(昆山)股份有限公司,杨淑妃,董事
优德精密工业(昆山)股份有限公司,袁家红,董事
优德精密工业(昆山)股份有限公司,曾馨仪,董事
优德精密工业(昆山)股份有限公司,巩军华,监事会主席
优德精密工业(昆山)股份有限公司,余水,监事
优德精密工业(昆山)股份有限公司,徐遵善,职工监事
优德精密工业(昆山)股份有限公司,陈志伟,总经理
优德精密工业(昆山)股份有限公司,张智伟,副总经理
优德精密工业(昆山)股份有限公司,陈海鹰,董事会秘书
河北恒工精密装备股份有限公司,魏志勇,董事长
河北恒工精密装备股份有限公司,翟进步,独立董事
河北恒工精密装备股份有限公司,戎梅,独立董事
河北恒工精密装备股份有限公司,焦健,独立董事
河北恒工精密装备股份有限公司,杨雨轩,董事
河北恒工精密装备股份有限公司,刘东,董事
河北恒工精密装备股份有限公司,尉丽峰,董事
河北恒工精密装备股份有限公司,付永晟,监事会主席
河北恒工精密装备股份有限公司,杨晓,监事
河北恒工精密装备股份有限公司,王向伟,监事
河北恒工精密装备股份有限公司,袁建华,副总经理
长江医药控股股份有限公司,王波,董事长
长江医药控股股份有限公司,兰霞,独立董事
长江医药控股股份有限公司,邓远军,独立董事
长江医药控股股份有限公司,吴康兵,独立董事
长江医药控股股份有限公司,翁浩,董事
长江医药控股股份有限公司,赵守军,董事
