stock_code,fund_name,fund_amount,fund_ratio
SZ301261,全部合计,396.45万,18.96%
SZ301261,广发中小盘精选混合型证券投资基金A,101.37万,4.85%
SZ301261,华安宏利混合型证券投资基金A,96.16万,4.60%
SZ301261,博时创新经济混合型证券投资基金A,56.39万,2.70%
SZ301261,广发科技创新混合型证券投资基金A,48.61万,2.32%
SZ301261,交银施罗德先进制造混合型证券投资基金A,39.18万,1.87%
SZ301261,华安新丝路主题股票型证券投资基金A,30.98万,1.48%
SZ301261,平安先进制造主题股票型发起式证券投资基金A,13.98万,0.67%
SZ301261,华夏智造升级混合型证券投资基金A,84700,0.41%
SZ301261,博时卓越成长混合型证券投资基金A,13000,0.06%
SZ301131,全部合计,1100,0.00%
SZ301131,汇泉启元未来混合型发起式证券投资基金A,1100,0.00%
SZ300120,全部合计,92400,0.02%
SZ300120,东方量化成长灵活配置混合型证券投资基金A,92400,0.02%
SH600811,全部合计,2900,0.00%
SH600811,广发中证1000交易型开放式指数证券投资基金联接基金A,2900,0.00%
SZ002713,全部合计,14100,0.00%
SZ002713,华泰柏瑞锦瑞债券型证券投资基金A,14100,0.00%
SZ002689,全部合计,158.68万,0.15%
SZ002689,国泰君安量化选股混合型发起式证券投资基金A,158.68万,0.15%
SH605228,全部合计,684.73万,1.63%
SH605228,信澳智远三年持有期混合型证券投资基金A,265.23万,0.63%
SH605228,信澳新能源产业股票型证券投资基金,220.16万,0.52%
SH605228,上证综指交易型开放式指数证券投资基金,199.34万,0.47%
SH603155,全部合计,540.19万,2.39%
SH603155,国投瑞银境煊灵活配置混合型证券投资基金A,302.39万,1.34%
SH603155,国投瑞银美丽中国灵活配置混合型证券投资基金A,237.80万,1.05%
SH603920,全部合计,3003.98万,5.56%
SH603920,广发多因子灵活配置混合型证券投资基金,1055.41万,1.95%
SH603920,广发科技创新混合型证券投资基金A,605.48万,1.12%
SH603920,平安品质优选混合型证券投资基金A,323.40万,0.60%
SH603920,广发瑞誉一年持有期混合型证券投资基金A,248.30万,0.46%
SH603920,平安转型创新灵活配置混合型证券投资基金A,232.57万,0.43%
SH603920,平安策略优选1年持有期混合型证券投资基金A,205.26万,0.38%
