stock_code,stockholder_name,stockholder_amount,stockholder_ratio
SH603350,上海坚丰企业管理合伙企业(有限合伙),1020.00万,42.71%
SH603350,卓达,735.00万,30.77%
SH603350,宁波思辉投资合伙企业(有限合伙),333.33万,13.96%
SH603350,黄洪岳,300.00万,12.56%
SZ300486,淄博匠图恒松控股有限公司,1.20亿,30.23%
SZ300486,姚卜文,1480.56万,3.74%
SZ300486,王志,1288.85万,3.26%
SZ300486,长安国际信托股份有限公司-长安信托-长安投资1153号(菁阳)证券投资单一资金信托,367.21万,0.93%
SZ300486,梁燕生,357.37万,0.90%
SZ300486,鲁泽珞,337.23万,0.85%
SZ300486,高盛公司有限责任公司,244.76万,0.62%
SZ300486,李宏,230.00万,0.58%
SZ300486,蓝伟华,216.93万,0.55%
SZ300486,周蓉,153.99万,0.39%
SZ300546,高晶,1474.38万,11.34%
SZ300546,郑嵩,264.25万,2.03%
SZ300546,刘丽琳,195.93万,1.51%
SZ300546,杨大炜,135.17万,1.04%
SZ300546,贾力强,130.30万,1.00%
SZ300546,李冰,74.43万,0.57%
SZ300546,樊秋冬,60.03万,0.46%
SZ300546,Barclays Bank PLC,59.95万,0.46%
SZ300546,曹忠兴,57.75万,0.44%
SZ300546,高盛公司有限责任公司,50.08万,0.39%
SZ300549,United Creation Management Limited,2065.88万,20.44%
SZ300549,曾正雄,1076.18万,10.65%
SZ300549,BEEANTAH INDUSTRIAL (M) SDN. BHD.,757.41万,7.50%
SZ300549,东发精密工业有限公司,627.95万,6.21%
SZ300549,张伟,102.12万,1.01%
SZ300549,昆山品宽商务咨询有限公司,69.00万,0.68%
SZ300549,李文豪,55.00万,0.54%
SZ300549,岳成,41.84万,0.41%
SZ300549,钱军,35.92万,0.36%
SZ300549,白孝明,35.36万,0.35%
SZ301261,中国银行股份有限公司-广发中小盘精选混合型证券投资基金,101.37万,4.85%
SZ301261,中国建设银行股份有限公司-华安宏利混合型证券投资基金,96.16万,4.60%
SZ301261,基本养老保险基金二一零一组合,71.48万,3.42%
SZ301261,上海浦东发展银行股份有限公司-博时创新经济混合型证券投资基金,56.39万,2.70%
SZ301261,中国建设银行股份有限公司-广发科技创新混合型证券投资基金,48.61万,2.32%
SZ301261,中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金,39.18万,1.87%
SZ301261,成都锦悦恒瑞资产管理有限公司-锦悦价值7号私募证券投资基金,33.00万,1.58%
SZ301261,中国银行股份有限公司-华安新丝路主题股票型证券投资基金,30.98万,1.48%
SZ301261,沈立刚,30.00万,1.43%
SZ301261,成都锦悦恒瑞资产管理有限公司-锦悦瑞享1号私募投资基金,30.00万,1.43%
SZ300391,长兴盛世丰华商务有限公司,3542.36万,10.11%
SZ300391,上海驭聪资产管理有限公司-驭聪天顺贰号私募证券投资基金,2100.00万,5.99%
SZ300391,刘丽丽,1768.13万,5.05%
SZ300391,寿光市康跃投资有限公司,1351.67万,3.86%
SZ300391,西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金,300.08万,0.86%
SZ300391,陈应军,234.15万,0.67%
SZ300391,李玉芳,222.55万,0.64%
SZ300391,青岛三和泰投资有限公司,218.00万,0.62%
SZ300391,李臣林,150.22万,0.43%
SZ300391,莫林根,148.62万,0.42%
SZ301131,东台聚合盈咨询管理合伙企业(有限合伙),141.70万,6.14%
SZ301131,广东粤科新鹤创业投资有限公司,124.02万,5.37%
SZ301131,广东粤科泓润创业投资有限公司,114.87万,4.98%
SZ301131,江志华,46.84万,2.03%
SZ301131,严志杰,40.00万,1.73%
SZ301131,刘冬秀,28.20万,1.22%
SZ301131,Barclays Bank PLC,25.31万,1.10%
SZ301131,余铭旗,19.13万,0.83%
SZ301131,万宗贺,19.13万,0.83%
SZ301131,颜恩挺,16.00万,0.69%
SZ300120,江苏悦达金泰基金管理有限公司-盐城市盐南高新区瑞善新型显示产业投资基金(有限合伙),3311.38万,6.35%
SZ300120,西藏青崖企业管理合伙企业(有限合伙),2678.17万,5.14%
SZ300120,上海善达投资管理有限公司-盐城市盐南高新区兴瑞半导体产业投资基金(有限合伙),2145.93万,4.12%
SZ300120,高盛尔,1587.28万,3.04%
SZ300120,江苏悦达金泰基金管理有限公司-盐城市盐南高新区金纬半导体产业投资基金(有限合伙),1389.66万,2.67%
SZ300120,宁波仁庆私募基金管理有限公司-仁庆仁和1号私募证券投资基金,900.00万,1.73%
SZ300120,宁波仁庆私募基金管理有限公司-仁庆1号私募证券投资基金,890.00万,1.71%
SZ300120,北京泰德圣私募基金管理有限公司-泰德圣投资-泰来景睿私募证券投资基金,715.43万,1.37%
SZ300120,陈建波,691.40万,1.33%
SZ300120,永州恒达伟业商业投资管理有限责任公司,668.13万,1.28%
SH600811,西藏东方润澜实业投资有限公司,6.09亿,16.64%
SH600811,东方集团有限公司,4.93亿,13.47%
SH600811,西藏祥滨商贸有限公司,4614.00万,1.26%
SH600811,香港中央结算有限公司,3163.90万,0.86%
SH600811,刘咏思,2647.70万,0.72%
SH600811,戴国绒,2399.99万,0.66%
SH600811,郜垒斤,1983.35万,0.54%
SH600811,周文伟,1866.43万,0.51%
SH600811,陈丽娟,1694.46万,0.46%
SH600811,嘉实基金-农业银行-嘉实中证金融资产管理计划,1541.26万,0.42%
SZ002713,天津东易天正投资有限公司,1.36亿,33.37%
SZ002713,天津晨尚咨询有限公司,6657.86万,16.39%
SZ002713,小米科技(武汉)有限公司,2100.00万,5.17%
SZ002713,中阅资本管理股份公司-中阅战略优选2号私募证券投资基金,1777.34万,4.38%
SZ002713,横琴涌盈投资管理有限公司-涌盈弘铭私募证券投资基金,368.13万,0.91%
SZ002713,中阅资本管理股份公司-中阅定制2号私募证券投资基金,325.66万,0.80%
SZ002713,北京燕云私募基金管理有限公司-燕云乐享.臻选3号私募证券投资基金,202.05万,0.50%
SZ002713,北京燕云私募基金管理有限公司-燕云乐享.臻选2号私募证券投资基金,164.18万,0.40%
SZ002713,陈云程,153.05万,0.38%
SZ002713,北京燕云私募基金管理有限公司-燕云乐享.臻选1号私募证券投资基金,146.98万,0.36%
SZ002689,沈阳远大铝业集团有限公司,3.58亿,34.40%
SZ002689,远大铝业工程(新加坡)有限公司,1.73亿,16.64%
SZ002689,许磊,1608.00万,1.54%
SZ002689,Barclays Bank PLC,275.29万,0.26%
SZ002689,唐玉莲,241.70万,0.23%
SZ002689,许喆,221.00万,0.21%
SZ002689,林泽滨,214.72万,0.21%
SZ002689,UBS AG,183.75万,0.18%
SZ002689,石才成,164.44万,0.16%
SZ002689,中国邮政储蓄银行股份有限公司-国泰君安量化选股混合型发起式证券投资基金,158.68万,0.15%
SH605228,宁波神通投资有限公司,1.94亿,46.14%
SH605228,宁波必恒投资合伙企业(有限合伙),6459.03万,15.33%
SH605228,香港昱立实业有限公司,3898.72万,9.25%
SH605228,宁波神通仁华投资合伙企业(有限合伙),2497.69万,5.93%
SH605228,神通科技集团股份有限公司回购专用证券账户,617.01万,1.46%
SH605228,许颖,379.30万,0.90%
SH605228,黄剑斌,360.38万,0.86%
SH605228,中国工商银行股份有限公司-信澳智远三年持有期混合型证券投资基金,265.23万,0.63%
SH605228,中国建设银行股份有限公司-信澳新能源产业股票型证券投资基金,220.16万,0.52%
SH605228,中国工商银行股份有限公司-上证综指交易型开放式指数证券投资基金,199.34万,0.47%
SH603155,初琳,1.04亿,45.99%
SH603155,红塔创新(昆山)创业投资有限公司,2848.28万,12.63%
SH603155,红塔创新投资股份有限公司,1637.74万,7.26%
SH603155,孙秀杰,1424.14万,6.31%
SH603155,华夏人寿保险股份有限公司-自有资金,585.18万,2.59%
SH603155,全国社保基金五零三组合,500.00万,2.22%
SH603155,初亚军,344.47万,1.53%
SH603155,招商银行股份有限公司-国投瑞银境煊灵活配置混合型证券投资基金,302.39万,1.34%
SH603155,上海亚强智盈管理咨询中心(有限合伙),290.00万,1.29%
SH603155,中国银行股份有限公司-国投瑞银美丽中国灵活配置混合型证券投资基金,237.80万,1.05%
SZ002979,深圳市雷赛实业发展有限公司,2175.00万,10.04%
SZ002979,李卫平,2153.25万,9.94%
SZ002979,施慧敏,609.00万,2.81%
SZ002979,宿迁和赛企业管理有限公司,606.51万,2.80%
SZ002979,诸暨富华睿银投资管理有限公司-浙江华睿弘源智能产业创业投资有限公司,438.07万,2.02%
SZ002979,李卫星,274.05万,1.26%
SZ002979,深圳市雷赛智能控制股份有限公司-2022年员工持股计划,250.60万,1.16%
SZ002979,金克馨,205.45万,0.95%
SZ002979,施慧鹏,179.80万,0.83%
SZ002979,夏可云,158.19万,0.73%
SH600297,新疆广汇实业投资(集团)有限责任公司,25.26亿,31.14%
SH600297,CHINA GRAND AUTOMOTIVE (MAURITIUS) LIMITED,16.22亿,20.00%
SH600297,Blue Chariot Investment Limited,1.89亿,2.33%
