stock_name,stock_code
C安乃达,SH603350
东杰智能,SZ300486
雄帝科技,SZ300546
优德精密,SZ300549
恒工精密,SZ301261
长药控股,SZ300391
聚赛龙,SZ301131
经纬辉开,SZ300120
东方集团,SH600811
东易日盛,SZ002713
远大智能,SZ002689
神通科技,SH605228
新亚强,SH603155
雷赛智能,SZ002979
广汇汽车,SH600297
湘邮科技,SH600476
世运电路,SH603920
新时达,SZ002527
迪贝电气,SH603320
大连友谊,SZ000679
康美药业,SH600518
三盛退,SZ300282
千方科技,SZ002373
格力博,SZ301260
天玑科技,SZ300245
盛通股份,SZ002599
正丹股份,SZ300641
海印股份,SZ000861
瑞松科技,SH688090
瑞迪智驱,SZ301596
楚环科技,SZ001336
华测检测,SZ300012
贝斯特,SZ300580
鼎通科技,SH688668
辉隆股份,SZ002556
泉为科技,SZ300716
三花智控,SZ002050
*ST天成,SH600112
*ST景峰,SZ000908
ST摩登,SZ002656
长高电新,SZ002452
*ST中润,SZ000506
*ST龙宇,SH603003
*ST恒立,SZ000622
创益通,SZ300991
航天晨光,SH600501
ST中装,SZ002822
零点有数,SZ301169
华瑞股份,SZ300626
科力尔,SZ002892
ST东时,SH603377
保隆科技,SH603197
伯特利,SH603596
岱美股份,SH603730
西典新能,SH603312
ST春天,SH600381
智云股份,SZ300097
恒光股份,SZ301118
明阳电气,SZ301291
东山精密,SZ002384
