名称,总价,单价,地址,信息,标签
"小区地理位置好，绿化高，居民素质高 ,临吾悦",102万,"9,533元/平",碧桂园凤城北苑西区 -麦德龙商圈,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
金辉优步水岸 双阳台落地窗 横厅设计 精装拎包入住,105万,"10,938元/平",金辉优步水岸 -中南商圈,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,VR看装修/随时看房
金水湾三期毛坯房，任君随意发挥,116万,"9,875元/平",金水湾 -东台市,3室2厅 | 117.47平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,VR看装修/随时看房
盐渎路 高力金色果缘 视野好 全天采光 诚意待售,83万,"9,561元/平",高力金色果缘 -中南商圈,3室2厅 | 86.82平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,VR看装修
中盐中70年商品房 采光充足 配套设施齐全 交通方便,129万,"12,196元/平",金庭苑北区 -缤纷亚洲商圈,3室2厅 | 105.78平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,VR看装修/随时看房
东河佳苑西苑 3室2厅 南,52万,"5,486元/平",东河佳苑西苑 -先锋商圈,3室2厅 | 94.8平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR看装修
老城区 宏大北苑  三室两厅 诚心出售,58万,"5,800元/平",宏大北苑 -招商场商圈,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,VR房源
青年路 景山 保利紫荆公馆  凈得房率85 诚心出售,114.8万,"10,678元/平",保利紫荆公馆 -亭湖高中商圈,3室2厅 | 107.52平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,VR看装修/随时看房
在水一方，精装2房，楼层好，带电梯，房东诚心卖,79.8万,"9,241元/平",在水一方西区 -富康路商圈,2室2厅 | 86.36平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,VR看装修
吾悦和府南区 精装拎包入住，好楼层，,125.8万,"11,649元/平",吾悦和府南区 -东台市,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,VR看装修
和泰家园  三房 价格好谈  有车库,70万,"7,288元/平",和泰嘉园 -崇礼路商圈,3室2厅 | 96.05平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,VR看装修
加州东郡，精装3房，好楼层，带电梯，有车库诚心出,88万,"8,156元/平",伯乐嘉园东区 -富康路商圈,3室2厅 | 107.9平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼,VR房源
中南十期 精装三房 好楼层 有地暖 含车位,109.8万,"10,604元/平",中南世纪城景城二区 -中南商圈,3室2厅 | 103.55平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,VR看装修/随时看房
吾悦广场旁98平小三室！采光无挡,73.8万,"7,517元/平",城发瑞府 -东台市,3室2厅 | 98.18平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,VR房源/随时看房
三室两厅，养老居住，逛街购物都很方便,84.8万,"8,654元/平",林城花园 -东台市,3室2厅 | 98平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,VR看装修/随时看房
视野宽阔 采光充足 户型方正 可以按自己的风格装修,169.8万,"12,126元/平",石榴盐渎院子 -潘黄商圈,5室1厅 | 140.03平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,VR看装修/随时看房
港湾明珠，拎包即住，有车库，诚意出售！,60万,"7,408元/平",港湾明珠 -张庄商圈,2室1厅 | 81平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,VR看装修
橡树湾  精装修   逸酒店  新弄里  拎包入住,24万,"5,807元/平",橡树湾 -中南商圈,1室1厅 | 41.33平米 | 北 | 精装 | 低楼层(共30层)  | 塔楼,VR看装修
城南聚龙湖商圈凤鸣缇香精装2房拎包入住随时看房,78万,"10,039元/平",凤鸣缇香 -聚龙湖商圈,2室2厅 | 77.7平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,VR看装修/随时看房
盐渎路 中南城旁 位置好 4房 楼层视野好 满二年,115万,"9,569元/平",中南世纪城瑞城 -中南商圈,4室2厅 | 120.19平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,VR房源/随时看房
城南小户型 带院子  华润橡树湾 精装两室,99万,"10,703元/平",橡树湾 -中南商圈,2室2厅 | 92.5平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,VR房源/随时看房
万达商圈 青年路出门BRT 成熟地段  诚意出售看房方便,125万,"8,824元/平",盛世华城南区 -万达商圈,3室2厅 | 141.66平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,VR看装修/随时看房
视野宽阔，采光良好，配套设施齐全,106.8万,"8,487元/平",信拓东海国际 -东台市,3室2厅 | 125.84平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,VR房源/随时看房
品质小区，品质物业，户型正，采光好 随时看房,159.8万,"13,317元/平",万科悦达翡翠云台 -中南商圈,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,VR看装修/随时看房
紫薇花园 楼层好 采光好 房东诚心出售,187万,"12,889元/平",紫薇花园(亭湖区) -聚龙湖商圈,3室2厅 | 145.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,VR看装修
东河佳苑西苑 多层四楼 三房精装拎包就住 有24平车库,49万,"5,209元/平",东河佳苑西苑 -先锋商圈,3室1厅 | 94.08平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,VR房源
有车位  城南品质小区  满2年好楼层  大四房毛坯,133万,"10,765元/平",中梁聚龙首府 -中南商圈,4室1厅 | 123.55平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,VR房源/随时看房
急售 华师大旁 荣悦华府 满两年精装拎包即住 随时看房,96万,"9,455元/平",荣悦华府 -中南商圈,3室2厅 | 101.54平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,VR看装修
电梯中层四室一厅满五业主装修有车库,66.8万,"6,913元/平",新东方嘉园 -射阳,4室1厅 | 96.63平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,VR看装修
吾悦南区新装修120平+汽车位 三室两厅两卫 视野楼层佳,156.8万,"13,008元/平",吾悦和府南区 -东台市,3室2厅 | 120.55平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,VR看装修/随时看房
毓龙北村住宅楼 3室2厅 南,39.8万,"3,980元/平",毓龙北村住宅楼 -张庄商圈,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共6层)  | 平房,VR看装修/随时看房
视野开阔，采光好，装修清爽有大车库可以住人,92.8万,"8,754元/平",华厦绿城 -聚龙湖商圈,3室2厅 | 106.01平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,VR看装修/随时看房
蔚蓝水岸，采光好。装修清爽，拎包入住.,89.8万,"10,442元/平",蔚蓝水岸 -聚龙湖商圈,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,VR看装修
房东诚心出售，多层2房，得房率高，价格看中可谈。,66万,"7,253元/平",迎宾花苑东区 -富康路商圈,2室1厅 | 91平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,VR看装修
